═══════════════════════════════════════════════════════════════
  Site            : tvgids.nl
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 43s
  Channels        : 230
  With programmes : 225
  Empty channels  : 5
  Total programs  : 10361
  Output size     : 3485713 bytes
  HTTP errors     :
    5 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:37:34
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:36:51 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvgids.nl --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 115 channel(s)
ℹ loading api data...
ℹ   [52/230] tvgids.nl (nl) - DisneyChannel.nl@SD - Apr 25, 2026 (76 programs)
ℹ   [53/230] tvgids.nl (nl) - DisneyXD.nl@SD - Apr 24, 2026 (68 programs)
ℹ   [54/230] tvgids.nl (nl) - DisneyXD.nl@SD - Apr 25, 2026 (63 programs)
ℹ   [55/230] tvgids.nl (nl) - RTVDrenthe.nl@SD - Apr 24, 2026 (100 programs)
ℹ   [56/230] tvgids.nl (nl) - RTVDrenthe.nl@SD - Apr 25, 2026 (104 programs)
ℹ   [57/230] tvgids.nl (nl) - ESPN.nl@HD - Apr 24, 2026 (37 programs)
ℹ   [58/230] tvgids.nl (nl) - eentertainment - Apr 24, 2026 (32 programs)
ℹ   [59/230] tvgids.nl (nl) - ESPN2.nl@HD - Apr 24, 2026 (45 programs)
ℹ   [60/230] tvgids.nl (nl) - eentertainment - Apr 25, 2026 (32 programs)
ℹ   [61/230] tvgids.nl (nl) - ESPN.nl@HD - Apr 25, 2026 (37 programs)
ℹ   [62/230] tvgids.nl (nl) - ESPN3.nl@HD - Apr 24, 2026 (49 programs)
ℹ   [63/230] tvgids.nl (nl) - ESPN4.nl@HD - Apr 24, 2026 (31 programs)
ℹ   [64/230] tvgids.nl (nl) - ESPN2.nl@HD - Apr 25, 2026 (45 programs)
ℹ   [65/230] tvgids.nl (nl) - ESPN3.nl@HD - Apr 25, 2026 (45 programs)
ℹ   [66/230] tvgids.nl (nl) - ESPN4.nl@HD - Apr 25, 2026 (31 programs)
ℹ   [67/230] tvgids.nl (nl) - Eurosport1.fr@Netherlands - Apr 24, 2026 (18 programs)
ℹ   [68/230] tvgids.nl (nl) - EuronewsEnglish.fr@HD - Apr 24, 2026 (99 programs)
ℹ   [69/230] tvgids.nl (nl) - EuronewsEnglish.fr@HD - Apr 25, 2026 (123 programs)
ℹ   [70/230] tvgids.nl (nl) - Eurosport2.fr@Netherlands - Apr 24, 2026 (21 programs)
ℹ   [71/230] tvgids.nl (nl) - Eurosport1.fr@Netherlands - Apr 25, 2026 (17 programs)
ℹ   [72/230] tvgids.nl (nl) - Eurosport2.fr@Netherlands - Apr 25, 2026 (24 programs)
ℹ   [73/230] tvgids.nl (nl) - Film1Action.nl@SD - Apr 24, 2026 (21 programs)
ℹ   [74/230] tvgids.nl (en) - ExtremeSportsChannel.nl@SD - Apr 24, 2026 (23 programs)
ℹ   [75/230] tvgids.nl (en) - ExtremeSportsChannel.nl@SD - Apr 25, 2026 (25 programs)
ℹ   [76/230] tvgids.nl (nl) - Film1Action.nl@SD - Apr 25, 2026 (21 programs)
ℹ   [77/230] tvgids.nl (nl) - Film1Drama.nl@SD - Apr 24, 2026 (16 programs)
ℹ   [78/230] tvgids.nl (nl) - Film1Family.nl@SD - Apr 24, 2026 (20 programs)
ℹ   [79/230] tvgids.nl (nl) - Film1Drama.nl@SD - Apr 25, 2026 (17 programs)
ℹ   [80/230] tvgids.nl (nl) - Film1Premiere.nl@SD - Apr 24, 2026 (18 programs)
ℹ   [81/230] tvgids.nl (nl) - Film1Family.nl@SD - Apr 25, 2026 (21 programs)
ℹ   [82/230] tvgids.nl (nl) - FilmBox.nl@Netherlands - Apr 24, 2026 (16 programs)
ℹ   [83/230] tvgids.nl (nl) - Film1Premiere.nl@SD - Apr 25, 2026 (16 programs)
ℹ   [84/230] tvgids.nl (nl) - FilmBox.nl@Netherlands - Apr 25, 2026 (18 programs)
ℹ   [85/230] tvgids.nl (nl) - OmroepFlevoland.nl@SD - Apr 24, 2026 (104 programs)
ℹ   [86/230] tvgids.nl (nl) - OmroepGelderland.nl@SD - Apr 25, 2026 (25 programs)
ℹ   [87/230] tvgids.nl (nl) - OmroepGelderland.nl@SD - Apr 24, 2026 (34 programs)
ℹ   [88/230] tvgids.nl (nl) - OmroepFlevoland.nl@SD - Apr 25, 2026 (139 programs)
ℹ   [89/230] tvgids.nl (nl) - HGTV.nl@HD - Apr 24, 2026 (50 programs)
ℹ   [90/230] tvgids.nl (nl) - HGTV.nl@HD - Apr 25, 2026 (48 programs)
ℹ   [91/230] tvgids.nl (nl) - History.nl@HD - Apr 24, 2026 (39 programs)
ℹ   [92/230] tvgids.nl (nl) - History.nl@HD - Apr 25, 2026 (41 programs)
ℹ   [93/230] tvgids.nl (nl) - InvestigationDiscovery.nl@SD - Apr 24, 2026 (30 programs)
ℹ   [94/230] tvgids.nl (nl) - InvestigationDiscovery.nl@SD - Apr 25, 2026 (32 programs)
ℹ   [95/230] tvgids.nl (nl) - INPLUS.nl@SD - Apr 24, 2026 (45 programs)
ℹ   [96/230] tvgids.nl (nl) - INPLUS.nl@SD - Apr 25, 2026 (44 programs)
ℹ   [97/230] tvgids.nl (nl) - Ketnet.be@HD - Apr 24, 2026 (102 programs)
ℹ   [98/230] tvgids.nl (nl) - Ketnet.be@HD - Apr 25, 2026 (92 programs)
ℹ   [99/230] tvgids.nl (nl) - L1TV.nl@SD - Apr 24, 2026 (26 programs)
ℹ   [100/230] tvgids.nl (nl) - L1TV.nl@SD - Apr 25, 2026 (44 programs)
ℹ   [101/230] tvgids.nl (nl) - LoveNature.ca@SD - Apr 24, 2026 (33 programs)
ℹ   [102/230] tvgids.nl (nl) - LoveNature.ca@SD - Apr 25, 2026 (33 programs)
ℹ   [103/230] tvgids.nl (fr) - Mezzo.fr@SD - Apr 24, 2026 (23 programs)
ℹ   [104/230] tvgids.nl (fr) - Mezzo.fr@SD - Apr 25, 2026 (25 programs)
ℹ   [105/230] tvgids.nl (nl) - MTV.nl@HD - Apr 24, 2026 (49 programs)
ℹ   [106/230] tvgids.nl (nl) - MTV.nl@HD - Apr 25, 2026 (49 programs)
ℹ   [107/230] tvgids.nl (nl) - NationalGeographicWild.nl@SD - Apr 24, 2026 (39 programs)
ℹ   [108/230] tvgids.nl (nl) - NationalGeographicWild.nl@SD - Apr 25, 2026 (40 programs)
ℹ   [109/230] tvgids.nl (nl) - NDRFernsehenInternational.de@SD - Apr 24, 2026 (46 programs)
ℹ   [110/230] tvgids.nl (nl) - NET5.nl@HD - Apr 24, 2026 (26 programs)
ℹ   [111/230] tvgids.nl (nl) - NDRFernsehenInternational.de@SD - Apr 25, 2026 (42 programs)
ℹ   [112/230] tvgids.nl (nl) - NET5.nl@HD - Apr 25, 2026 (27 programs)
ℹ   [113/230] tvgids.nl (nl) - NationalGeographic.nl@SD - Apr 24, 2026 (36 programs)
