═══════════════════════════════════════════════════════════════
  Site            : tvheute.at
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 16s
  Channels        : 106
  With programmes : 106
  Empty channels  : 0
  Total programs  : 4054
  Output size     : 2134093 bytes
  Generated       : 2026-04-24 12:40:34
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:40:18 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvheute.at --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 53 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [60/106] tvheute.at (de) - rbb - Apr 25, 2026 (42 programs)
ℹ   [61/106] tvheute.at (de) - RTL.de@SD - Apr 24, 2026 (37 programs)
ℹ   [62/106] tvheute.at (de) - RTL.de@SD - Apr 25, 2026 (28 programs)
ℹ   [63/106] tvheute.at (de) - RTLZwei.de@SD - Apr 24, 2026 (25 programs)
ℹ   [64/106] tvheute.at (de) - RTLZwei.de@SD - Apr 25, 2026 (16 programs)
ℹ   [65/106] tvheute.at (de) - RTLCrime.de@SD - Apr 24, 2026 (38 programs)
ℹ   [66/106] tvheute.at (de) - RTLLiving.de@SD - Apr 24, 2026 (38 programs)
ℹ   [67/106] tvheute.at (de) - RTLCrime.de@SD - Apr 25, 2026 (37 programs)
ℹ   [68/106] tvheute.at (de) - RTLLiving.de@SD - Apr 25, 2026 (33 programs)
ℹ   [69/106] tvheute.at (de) - RTLSuper.de@SD - Apr 24, 2026 (86 programs)
ℹ   [70/106] tvheute.at (de) - SAT1Austria.at@SD - Apr 24, 2026 (28 programs)
ℹ   [71/106] tvheute.at (de) - RTLSuper.de@SD - Apr 25, 2026 (78 programs)
ℹ   [72/106] tvheute.at (de) - SAT1Austria.at@SD - Apr 25, 2026 (28 programs)
ℹ   [73/106] tvheute.at (de) - SAT1GoldAustria.at@SD - Apr 24, 2026 (42 programs)
ℹ   [74/106] tvheute.at (de) - SAT1GoldAustria.at@SD - Apr 25, 2026 (29 programs)
ℹ   [75/106] tvheute.at (de) - ServusTV.at@SD - Apr 24, 2026 (40 programs)
ℹ   [76/106] tvheute.at (de) - ServusTV.at@SD - Apr 25, 2026 (47 programs)
ℹ   [77/106] tvheute.at (de) - sixxAustria.at@SD - Apr 24, 2026 (35 programs)
ℹ   [78/106] tvheute.at (de) - sixxAustria.at@SD - Apr 25, 2026 (35 programs)
ℹ   [79/106] tvheute.at (de) - SkySportAustria1.at@SD - Apr 24, 2026 (22 programs)
ℹ   [80/106] tvheute.at (de) - SkySportAustria1.at@SD - Apr 25, 2026 (25 programs)
ℹ   [81/106] tvheute.at (de) - SkySportBundesliga1.de@SD - Apr 24, 2026 (38 programs)
ℹ   [82/106] tvheute.at (de) - SkyCinemaPremieren.de@SD - Apr 24, 2026 (16 programs)
ℹ   [83/106] tvheute.at (de) - SkySportBundesliga1.de@SD - Apr 25, 2026 (53 programs)
ℹ   [84/106] tvheute.at (de) - SkyCinemaPremieren.de@SD - Apr 25, 2026 (15 programs)
ℹ   [85/106] tvheute.at (de) - SkySport1.de@SD - Apr 24, 2026 (1 programs)
ℹ   [86/106] tvheute.at (de) - SkySport1.de@SD - Apr 25, 2026 (4 programs)
ℹ   [87/106] tvheute.at (de) - SkySport2.de@SD - Apr 24, 2026 (1 programs)
ℹ   [88/106] tvheute.at (de) - SkySport2.de@SD - Apr 25, 2026 (1 programs)
ℹ   [89/106] tvheute.at (de) - Sport1.de@SD - Apr 24, 2026 (38 programs)
ℹ   [90/106] tvheute.at (de) - Sport1.de@SD - Apr 25, 2026 (47 programs)
ℹ   [91/106] tvheute.at (de) - SWRFernsehenBadenWurttemberg.de@SD - Apr 24, 2026 (22 programs)
ℹ   [92/106] tvheute.at (de) - SWRFernsehenBadenWurttemberg.de@SD - Apr 25, 2026 (24 programs)
ℹ   [93/106] tvheute.at (de) - TELE5.de@SD - Apr 24, 2026 (27 programs)
ℹ   [94/106] tvheute.at (de) - TELE5.de@SD - Apr 25, 2026 (25 programs)
ℹ   [95/106] tvheute.at (de) - VOX.at@SD - Apr 24, 2026 (30 programs)
ℹ   [96/106] tvheute.at (de) - VOX.at@SD - Apr 25, 2026 (28 programs)
ℹ   [97/106] tvheute.at (de) - wdr - Apr 24, 2026 (46 programs)
ℹ   [98/106] tvheute.at (de) - wdr - Apr 25, 2026 (42 programs)
ℹ   [99/106] tvheute.at (de) - WELT.de@SD - Apr 24, 2026 (83 programs)
ℹ   [100/106] tvheute.at (de) - WELT.de@SD - Apr 25, 2026 (58 programs)
ℹ   [101/106] tvheute.at (de) - ZDF.de@SD - Apr 24, 2026 (38 programs)
ℹ   [102/106] tvheute.at (de) - ZDF.de@SD - Apr 25, 2026 (47 programs)
ℹ   [103/106] tvheute.at (de) - ZDFinfo.de@SD - Apr 24, 2026 (40 programs)
ℹ   [104/106] tvheute.at (de) - ZDFinfo.de@SD - Apr 25, 2026 (38 programs)
ℹ   [105/106] tvheute.at (de) - ZDFneo.de@SD - Apr 24, 2026 (39 programs)
ℹ   [106/106] tvheute.at (de) - ZDFneo.de@SD - Apr 25, 2026 (30 programs)
ℹ   saving to "/home/runner/workspace/sites/tvheute.at/tvheute.at.xml"...
✔   done in 00h 00m 12s
