═══════════════════════════════════════════════════════════════
  Site            : watch.whaletvplus.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 124s
  Channels        : 728
  With programmes : 728
  Empty channels  : 0
  Total programs  : 23927
  Output size     : 12214751 bytes
  Generated       : 2026-04-24 13:05:18
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:03:14 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=watch.whaletvplus.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 364 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [54/728] watch.whaletvplus.com (de) - Motorvision.de@SD - Apr 24, 2026 (54 programs)
ℹ   [55/728] watch.whaletvplus.com (de) - 910029942321318186 - Apr 25, 2026 (33 programs)
ℹ   [56/728] watch.whaletvplus.com (de) - 910029942321318186 - Apr 24, 2026 (55 programs)
ℹ   [57/728] watch.whaletvplus.com (de) - Nachrichten360.de@HD - Apr 24, 2026 (50 programs)
ℹ   [58/728] watch.whaletvplus.com (de) - Nachrichten360.de@HD - Apr 25, 2026 (50 programs)
ℹ   [59/728] watch.whaletvplus.com (de) - 345225226613301910 - Apr 24, 2026 (16 programs)
ℹ   [60/728] watch.whaletvplus.com (de) - Naruto.us@Germany - Apr 24, 2026 (56 programs)
ℹ   [61/728] watch.whaletvplus.com (de) - 345225226613301910 - Apr 25, 2026 (16 programs)
ℹ   [62/728] watch.whaletvplus.com (de) - Naruto.us@Germany - Apr 25, 2026 (56 programs)
ℹ   [63/728] watch.whaletvplus.com (de) - 869189701360756267 - Apr 24, 2026 (36 programs)
ℹ   [64/728] watch.whaletvplus.com (de) - 869189701360756267 - Apr 25, 2026 (36 programs)
ℹ   [65/728] watch.whaletvplus.com (de) - RedBullTV.at@DE - Apr 24, 2026 (28 programs)
ℹ   [66/728] watch.whaletvplus.com (de) - RedBullTV.at@DE - Apr 25, 2026 (28 programs)
ℹ   [67/728] watch.whaletvplus.com (de) - 840434840314060200 - Apr 24, 2026 (25 programs)
ℹ   [68/728] watch.whaletvplus.com (de) - 1034986045911343817 - Apr 24, 2026 (20 programs)
ℹ   [69/728] watch.whaletvplus.com (de) - 840434840314060200 - Apr 25, 2026 (24 programs)
ℹ   [70/728] watch.whaletvplus.com (de) - 1034986045911343817 - Apr 25, 2026 (16 programs)
ℹ   [71/728] watch.whaletvplus.com (de) - 1034986045911343818 - Apr 24, 2026 (20 programs)
ℹ   [72/728] watch.whaletvplus.com (de) - 1034986045911343818 - Apr 25, 2026 (18 programs)
ℹ   [73/728] watch.whaletvplus.com (de) - 345234158752767604 - Apr 24, 2026 (75 programs)
ℹ   [74/728] watch.whaletvplus.com (de) - 345234158752767604 - Apr 25, 2026 (74 programs)
ℹ   [75/728] watch.whaletvplus.com (de) - 931186243466302965 - Apr 24, 2026 (28 programs)
ℹ   [76/728] watch.whaletvplus.com (de) - 925725141370479501 - Apr 24, 2026 (67 programs)
ℹ   [77/728] watch.whaletvplus.com (de) - 925725141370479501 - Apr 25, 2026 (63 programs)
ℹ   [78/728] watch.whaletvplus.com (de) - 758911144097743475 - Apr 24, 2026 (26 programs)
ℹ   [79/728] watch.whaletvplus.com (de) - 758911144097743475 - Apr 25, 2026 (26 programs)
