═══════════════════════════════════════════════════════════════
  Site            : sky.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 113s
  Channels        : 1066
  With programmes : 1014
  Empty channels  : 52
  Total programs  : 27995
  Output size     : 15867215 bytes
  Generated       : 2026-04-24 12:01:19
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:59:26 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=sky.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 533 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [70/1066] sky.com (en) - 2129 - Apr 24, 2026 (11 programs)
ℹ   [71/1066] sky.com (en) - 2130 - Apr 24, 2026 (7 programs)
ℹ   [72/1066] sky.com (en) - 2130 - Apr 25, 2026 (10 programs)
ℹ   [73/1066] sky.com (en) - 2902 - Apr 24, 2026 (8 programs)
ℹ   [74/1066] sky.com (en) - 2902 - Apr 25, 2026 (8 programs)
ℹ   [75/1066] sky.com (en) - 2903 - Apr 24, 2026 (8 programs)
ℹ   [76/1066] sky.com (en) - 2903 - Apr 25, 2026 (8 programs)
ℹ   [77/1066] sky.com (en) - 2904 - Apr 24, 2026 (8 programs)
ℹ   [78/1066] sky.com (en) - 2904 - Apr 25, 2026 (8 programs)
ℹ   [79/1066] sky.com (en) - 2908 - Apr 24, 2026 (8 programs)
ℹ   [80/1066] sky.com (en) - 2908 - Apr 25, 2026 (7 programs)
ℹ   [81/1066] sky.com (en) - 2909 - Apr 24, 2026 (8 programs)
ℹ   [82/1066] sky.com (en) - 2909 - Apr 25, 2026 (7 programs)
ℹ   [83/1066] sky.com (en) - 2917 - Apr 24, 2026 (8 programs)
ℹ   [84/1066] sky.com (en) - 2917 - Apr 25, 2026 (7 programs)
ℹ   [85/1066] sky.com (en) - 2920 - Apr 24, 2026 (9 programs)
ℹ   [86/1066] sky.com (en) - 2920 - Apr 25, 2026 (9 programs)
ℹ   [87/1066] sky.com (en) - 2926 - Apr 24, 2026 (8 programs)
ℹ   [88/1066] sky.com (en) - 2926 - Apr 25, 2026 (9 programs)
ℹ   [89/1066] sky.com (en) - 2928 - Apr 24, 2026 (6 programs)
ℹ   [90/1066] sky.com (en) - 2928 - Apr 25, 2026 (6 programs)
ℹ   [91/1066] sky.com (en) - 2971 - Apr 24, 2026 (9 programs)
ℹ   [92/1066] sky.com (en) - 3021 - Apr 24, 2026 (19 programs)
ℹ   [93/1066] sky.com (en) - 2971 - Apr 25, 2026 (7 programs)
ℹ   [94/1066] sky.com (en) - 3021 - Apr 25, 2026 (11 programs)
ℹ   [95/1066] sky.com (en) - 3082 - Apr 24, 2026 (32 programs)
ℹ   [96/1066] sky.com (en) - 3082 - Apr 25, 2026 (21 programs)
ℹ   [97/1066] sky.com (en) - 3363 - Apr 25, 2026 (11 programs)
ℹ   [98/1066] sky.com (en) - 3363 - Apr 24, 2026 (11 programs)
ℹ   [99/1066] sky.com (en) - 3371 - Apr 24, 2026 (8 programs)
ℹ   [100/1066] sky.com (en) - 3371 - Apr 25, 2026 (6 programs)
ℹ   [101/1066] sky.com (en) - 3392 - Apr 24, 2026 (19 programs)
ℹ   [102/1066] sky.com (en) - 3392 - Apr 25, 2026 (18 programs)
