═══════════════════════════════════════════════════════════════
  Site            : dens.tv
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 26s
  Channels        : 108
  With programmes : 84
  Empty channels  : 24
  Total programs  : 2791
  Output size     : 512951 bytes
  HTTP errors     :
    24 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 10:47:50
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:47:24 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=dens.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 54 channel(s)
ℹ loading api data...
ℹ   [54/108] dens.tv (id) - CCTV4Asia.cn@SD - Apr 24, 2026 (26 programs)
ℹ   [55/108] dens.tv (id) - DW.de@English - Apr 25, 2026 (77 programs)
ℹ   [56/108] dens.tv (id) - AlSunnahAlNabawiyahTV.sa@SD - Apr 24, 2026 (26 programs)
ℹ   [57/108] dens.tv (id) - AlSunnahAlNabawiyahTV.sa@SD - Apr 25, 2026 (26 programs)
ℹ   [58/108] dens.tv (id) - CCTV4Asia.cn@SD - Apr 25, 2026 (26 programs)
ℹ   [59/108] dens.tv (id) - MyCinemaEurope.ch@SD - Apr 25, 2026 (16 programs)
ℹ   [60/108] dens.tv (id) - MyCinemaEurope.ch@SD - Apr 24, 2026 (18 programs)
ℹ   [61/108] dens.tv (id) - TV5MondeAsia.fr@SD - Apr 24, 2026 (48 programs)
ℹ   [62/108] dens.tv (id) - TV5MondeAsia.fr@SD - Apr 25, 2026 (52 programs)
ℹ   [63/108] dens.tv (id) - ElshintaTV.id@SD - Apr 24, 2026 (26 programs)
ℹ   [64/108] dens.tv (id) - MyKidz.id@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [65/108] dens.tv (id) - ElshintaTV.id@SD - Apr 25, 2026 (26 programs)
ℹ   [66/108] dens.tv (id) - MyKidz.id@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [67/108] dens.tv (id) - Motorvision.de@SD - Apr 24, 2026 (45 programs)
ℹ   [68/108] dens.tv (id) - Motorvision.de@SD - Apr 25, 2026 (50 programs)
ℹ   [69/108] dens.tv (id) - KPlus.sg@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [70/108] dens.tv (id) - KPlus.sg@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [71/108] dens.tv (id) - DensShowBiz.id@SD - Apr 24, 2026 (19 programs)
ℹ   [72/108] dens.tv (id) - DensShowBiz.id@SD - Apr 25, 2026 (22 programs)
ℹ   [73/108] dens.tv (id) - FREEDOM.ua@SD - Apr 24, 2026 (26 programs)
ℹ   [74/108] dens.tv (id) - DensPlay.id@SD - Apr 24, 2026 (20 programs)
ℹ   [75/108] dens.tv (id) - FREEDOM.ua@SD - Apr 25, 2026 (26 programs)
ℹ   [76/108] dens.tv (id) - DensPlay.id@SD - Apr 25, 2026 (22 programs)
ℹ   [77/108] dens.tv (id) - MyCinemaAsia.id@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [78/108] dens.tv (id) - MyCinemaAsia.id@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [79/108] dens.tv (id) - DensFoodChannel.id@SD - Apr 24, 2026 (21 programs)
ℹ   [80/108] dens.tv (id) - JakTV.id@SD - Apr 25, 2026 (31 programs)
ℹ   [81/108] dens.tv (id) - JakTV.id@SD - Apr 24, 2026 (31 programs)
ℹ   [82/108] dens.tv (id) - DensFoodChannel.id@SD - Apr 25, 2026 (25 programs)
ℹ   [83/108] dens.tv (id) - TVRISport.id@SD - Apr 24, 2026 (26 programs)
ℹ   [84/108] dens.tv (id) - TVRISport.id@SD - Apr 25, 2026 (26 programs)
ℹ   [85/108] dens.tv (id) - MagnaChannel.id@SD - Apr 24, 2026 (26 programs)
ℹ   [86/108] dens.tv (id) - 127 - Apr 24, 2026 (26 programs)
ℹ   [87/108] dens.tv (id) - MagnaChannel.id@SD - Apr 25, 2026 (26 programs)
ℹ   [88/108] dens.tv (id) - 127 - Apr 25, 2026 (26 programs)
ℹ   [89/108] dens.tv (id) - StingrayClassica.ca@SD - Apr 24, 2026 (27 programs)
ℹ   [90/108] dens.tv (id) - 131 - Apr 24, 2026 (26 programs)
ℹ   [91/108] dens.tv (id) - StingrayClassica.ca@SD - Apr 25, 2026 (30 programs)
