═══════════════════════════════════════════════════════════════
  Site            : tv.lv
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 30s
  Channels        : 274
  With programmes : 6
  Empty channels  : 268
  Total programs  : 109
  Output size     : 95872 bytes
  HTTP errors     :
    174 status code 429
  Last error      : Request failed with status code 429
  Generated       : 2026-04-24 12:47:14
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:46:44 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv.lv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 137 channel(s)
ℹ loading api data...
ℹ   [59/274] tv.lv (lv) - disney-channel - Apr 24, 2026 (0 programs)
ℹ   [60/274] tv.lv (lv) - disney-channel - Apr 25, 2026 (0 programs)
ℹ   [61/274] tv.lv (lv) - disney-junior - Apr 24, 2026 (0 programs)
ℹ   [62/274] tv.lv (lv) - disney-junior - Apr 25, 2026 (0 programs)
ℹ   [63/274] tv.lv (lv) - disney-xd - Apr 24, 2026 (0 programs)
ℹ   [64/274] tv.lv (lv) - disney-xd - Apr 25, 2026 (0 programs)
ℹ   [65/274] tv.lv (lv) - djazztv - Apr 24, 2026 (0 programs)
ℹ   [66/274] tv.lv (lv) - djazztv - Apr 25, 2026 (0 programs)
ℹ   [67/274] tv.lv (lv) - duo-3-baltic - Apr 24, 2026 (0 programs)
ℹ   [68/274] tv.lv (lv) - duo-3-baltic - Apr 25, 2026 (0 programs)
ℹ   [69/274] tv.lv (lv) - duo-3-blt - Apr 24, 2026 (0 programs)
ℹ   [70/274] tv.lv (lv) - duo-3-blt - Apr 25, 2026 (0 programs)
ℹ   [71/274] tv.lv (lv) - Duo6.lv@SD - Apr 24, 2026 (0 programs)
ℹ   [72/274] tv.lv (lv) - Duo6.lv@SD - Apr 25, 2026 (0 programs)
ℹ   [73/274] tv.lv (lv) - e-entertainment - Apr 24, 2026 (0 programs)
ℹ   [74/274] tv.lv (lv) - e-entertainment - Apr 25, 2026 (0 programs)
ℹ   [75/274] tv.lv (en) - EpicDrama.uk@Sweden - Apr 24, 2026 (0 programs)
ℹ   [76/274] tv.lv (en) - EpicDrama.uk@Sweden - Apr 25, 2026 (0 programs)
ℹ   [77/274] tv.lv (lv) - esportstv - Apr 25, 2026 (0 programs)
ℹ   [78/274] tv.lv (lv) - esportstv - Apr 24, 2026 (0 programs)
ℹ   [79/274] tv.lv (lv) - euronews - Apr 24, 2026 (0 programs)
ℹ   [80/274] tv.lv (lv) - euronews - Apr 25, 2026 (0 programs)
ℹ   [81/274] tv.lv (lv) - Eurosport1.fr@France - Apr 24, 2026 (0 programs)
ℹ   [82/274] tv.lv (lv) - Eurosport1.fr@France - Apr 25, 2026 (0 programs)
ℹ   [83/274] tv.lv (lv) - Eurosport2.fr@France - Apr 24, 2026 (0 programs)
ℹ   [84/274] tv.lv (lv) - Eurosport2.fr@France - Apr 25, 2026 (0 programs)
ℹ   [85/274] tv.lv (lv) - eurosport-2-bundesliga - Apr 24, 2026 (0 programs)
