═══════════════════════════════════════════════════════════════
  Site            : streamingtvguides.com
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 1480s
  Channels        : 11079
  With programmes : 0
  Empty channels  : 11079
  Total programs  : 0
  Output size     : 0 bytes
  HTTP errors     :
    34 status code 404
    29 status code 522
  Other errors    :
    21 timeout of 30000ms exceeded
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:29:28
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:04:48 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=streamingtvguides.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 3066 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [59/6132] streamingtvguides.com (en) - ADBYU - Apr 24, 2026 (0 programs)
ℹ   [60/6132] streamingtvguides.com (en) - ADBYU - Apr 25, 2026 (0 programs)
ℹ   [61/6132] streamingtvguides.com (en) - ADCAFE - Apr 24, 2026 (0 programs)
ℹ   [62/6132] streamingtvguides.com (en) - ADCAFE - Apr 25, 2026 (0 programs)
ℹ   [63/6132] streamingtvguides.com (en) - ADCASH - Apr 24, 2026 (0 programs)
ℹ   [64/6132] streamingtvguides.com (en) - ADCASH - Apr 25, 2026 (0 programs)
ℹ   [65/6132] streamingtvguides.com (en) - ADCGOLD - Apr 24, 2026 (0 programs)
ℹ   [66/6132] streamingtvguides.com (en) - ADCGOLD - Apr 25, 2026 (0 programs)
ℹ   [67/6132] streamingtvguides.com (en) - ADCH015 - Apr 24, 2026 (0 programs)
ℹ   [68/6132] streamingtvguides.com (en) - ADCH015 - Apr 25, 2026 (0 programs)
ℹ   [69/6132] streamingtvguides.com (en) - ADCH315 - Apr 24, 2026 (0 programs)
ℹ   [70/6132] streamingtvguides.com (en) - ADCH315 - Apr 25, 2026 (0 programs)
ℹ   [71/6132] streamingtvguides.com (en) - ADCITY - Apr 24, 2026 (0 programs)
ℹ   [72/6132] streamingtvguides.com (en) - ADCITY - Apr 25, 2026 (0 programs)
ℹ   [73/6132] streamingtvguides.com (en) - ADCMO - Apr 24, 2026 (0 programs)
ℹ   [74/6132] streamingtvguides.com (en) - ADDECA - Apr 25, 2026 (0 programs)
