═══════════════════════════════════════════════════════════════
  Site            : tvhebdo.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 69s
  Channels        : 634
  With programmes : 515
  Empty channels  : 119
  Total programs  : 16051
  Output size     : 2471218 bytes
  HTTP errors     :
    28 status code 404
    7 status code 500
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:40:18
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:39:09 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvhebdo.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 317 channel(s)
ℹ   [54/634] tvhebdo.com (fr) - boom/BOOMH - Apr 24, 2026 (65 programs)
ℹ   [55/634] tvhebdo.com (fr) - boom/BOOMS - Apr 24, 2026 (65 programs)
ℹ   [56/634] tvhebdo.com (fr) - boom/BOOMH - Apr 25, 2026 (65 programs)
ℹ   [57/634] tvhebdo.com (fr) - boom/BOOMS - Apr 25, 2026 (65 programs)
ℹ   [58/634] tvhebdo.com (fr) - CaracolInternacional.co@SD - Apr 24, 2026 (26 programs)
ℹ   [59/634] tvhebdo.com (fr) - CaracolInternacional.co@SD - Apr 25, 2026 (25 programs)
ℹ   [60/634] tvhebdo.com (fr) - BNNBloomberg.ca@SD - Apr 25, 2026 (30 programs)
ℹ   [61/634] tvhebdo.com (fr) - cbc/CBCHD - Apr 24, 2026 (54 programs)
ℹ   [62/634] tvhebdo.com (fr) - cbc/CBCHD - Apr 25, 2026 (47 programs)
ℹ   [63/634] tvhebdo.com (fr) - CBMTDT.ca@SD - Apr 24, 2026 (54 programs)
ℹ   [64/634] tvhebdo.com (fr) - CBUTDT.ca@SD - Apr 24, 2026 (50 programs)
ℹ   [65/634] tvhebdo.com (fr) - CBUTDT.ca@SD - Apr 25, 2026 (32 programs)
ℹ   [66/634] tvhebdo.com (fr) - KIROTV71.us@HD - Apr 24, 2026 (28 programs)
