═══════════════════════════════════════════════════════════════
  Site            : mi.tv
  Status          : PASS
  Attempts used   : 7 / 10
  Total elapsed   : 1564s
  Channels        : 19642
  With programmes : 15207
  Empty channels  : 4435
  Total programs  : 92059
  Output size     : 44390818 bytes
  Generated       : 2026-04-24 11:38:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:12:38 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=mi.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 2084 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [57/4168] mi.tv (es) - CanalRural.ar@SD - Apr 24, 2026 (41 programs)
ℹ   [58/4168] mi.tv (es) - CanalRural.ar@SD - Apr 25, 2026 (39 programs)
ℹ   [59/4168] mi.tv (es) - CartoonNetworkLatinAmerica.us@SouthAtlantic - Apr 24, 2026 (112 programs)
ℹ   [60/4168] mi.tv (es) - CartoonNetworkLatinAmerica.us@SouthAtlantic - Apr 25, 2026 (103 programs)
ℹ   [61/4168] mi.tv (es) - CanalU.ar@SD - Apr 24, 2026 (17 programs)
ℹ   [62/4168] mi.tv (es) - CanalU.ar@SD - Apr 25, 2026 (19 programs)
ℹ   [63/4168] mi.tv (es) - CineLatino.mx@SD - Apr 24, 2026 (16 programs)
ℹ   [64/4168] mi.tv (es) - CineLatino.mx@SD - Apr 25, 2026 (16 programs)
ℹ   [65/4168] mi.tv (es) - Cinecanal.us@Panregional - Apr 24, 2026 (12 programs)
ℹ   [66/4168] mi.tv (es) - Cinecanal.us@Panregional - Apr 25, 2026 (11 programs)
ℹ   [67/4168] mi.tv (es) - CinemaxLatinAmerica.us@SD - Apr 24, 2026 (14 programs)
ℹ   [68/4168] mi.tv (es) - CinemaxLatinAmerica.us@SD - Apr 25, 2026 (15 programs)
ℹ   [69/4168] mi.tv (es) - ar#cinemax-sur - Apr 24, 2026 (14 programs)
ℹ   [70/4168] mi.tv (es) - ar#cinemax-sur - Apr 25, 2026 (15 programs)
ℹ   [71/4168] mi.tv (es) - CanaldelaCiudad.ar@SD - Apr 24, 2026 (15 programs)
ℹ   [72/4168] mi.tv (es) - CanaldelaCiudad.ar@SD - Apr 25, 2026 (16 programs)
ℹ   [73/4168] mi.tv (es) - CN23.ar@SD - Apr 24, 2026 (24 programs)
ℹ   [74/4168] mi.tv (es) - CN23.ar@SD - Apr 25, 2026 (24 programs)
ℹ   [75/4168] mi.tv (es) - CNNInternational.us@LatinAmerica - Apr 24, 2026 (2 programs)
ℹ   [76/4168] mi.tv (es) - CNNInternational.us@LatinAmerica - Apr 25, 2026 (14 programs)
