═══════════════════════════════════════════════════════════════
  Site            : xumo.tv
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 56s
  Channels        : 830
  With programmes : 812
  Empty channels  : 18
  Total programs  : 26606
  Output size     : 8883086 bytes
  Generated       : 2026-04-24 13:07:20
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:06:24 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=xumo.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 415 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [59/830] xumo.tv (en) - 0#99991282 - Apr 24, 2026 (24 programs)
ℹ   [60/830] xumo.tv (en) - 0#99991282 - Apr 25, 2026 (24 programs)
ℹ   [61/830] xumo.tv (en) - 0#99991299 - Apr 24, 2026 (17 programs)
ℹ   [62/830] xumo.tv (en) - 0#99991300 - Apr 24, 2026 (20 programs)
ℹ   [63/830] xumo.tv (en) - 0#99991299 - Apr 25, 2026 (17 programs)
ℹ   [64/830] xumo.tv (en) - 0#99991300 - Apr 25, 2026 (17 programs)
ℹ   [65/830] xumo.tv (en) - HiYAH.us@SD - Apr 24, 2026 (14 programs)
ℹ   [66/830] xumo.tv (en) - HiYAH.us@SD - Apr 25, 2026 (16 programs)
ℹ   [67/830] xumo.tv (en) - GravitasMovies.us@SD - Apr 24, 2026 (17 programs)
ℹ   [68/830] xumo.tv (en) - GravitasMovies.us@SD - Apr 25, 2026 (16 programs)
ℹ   [69/830] xumo.tv (en) - 0#99991334 - Apr 24, 2026 (0 programs)
ℹ   [70/830] xumo.tv (en) - 0#99991334 - Apr 25, 2026 (0 programs)
ℹ   [71/830] xumo.tv (en) - MaverickBlackCinema.us@SD - Apr 24, 2026 (18 programs)
ℹ   [72/830] xumo.tv (en) - MaverickBlackCinema.us@SD - Apr 25, 2026 (18 programs)
ℹ   [73/830] xumo.tv (en) - 0#99991337 - Apr 24, 2026 (17 programs)
ℹ   [74/830] xumo.tv (en) - 0#99991350 - Apr 24, 2026 (18 programs)
ℹ   [75/830] xumo.tv (en) - 0#99991337 - Apr 25, 2026 (16 programs)
ℹ   [76/830] xumo.tv (en) - 0#99991350 - Apr 25, 2026 (18 programs)
ℹ   [77/830] xumo.tv (en) - 0#99991362 - Apr 24, 2026 (18 programs)
ℹ   [78/830] xumo.tv (en) - 0#99991363 - Apr 24, 2026 (18 programs)
ℹ   [79/830] xumo.tv (en) - 0#99991363 - Apr 25, 2026 (18 programs)
ℹ   [80/830] xumo.tv (en) - 0#99991362 - Apr 25, 2026 (18 programs)
ℹ   [81/830] xumo.tv (en) - 0#99991392 - Apr 24, 2026 (22 programs)
ℹ   [82/830] xumo.tv (en) - 0#99991392 - Apr 25, 2026 (21 programs)
ℹ   [83/830] xumo.tv (en) - XumoFreeWesterns.us@SD - Apr 24, 2026 (20 programs)
ℹ   [84/830] xumo.tv (en) - XumoFreeWesterns.us@SD - Apr 25, 2026 (20 programs)
ℹ   [85/830] xumo.tv (en) - CineLife.us@SD - Apr 24, 2026 (16 programs)
ℹ   [86/830] xumo.tv (en) - 0#99991621 - Apr 24, 2026 (16 programs)
ℹ   [87/830] xumo.tv (en) - CineLife.us@SD - Apr 25, 2026 (18 programs)
ℹ   [88/830] xumo.tv (en) - 0#99991621 - Apr 25, 2026 (17 programs)
ℹ   [89/830] xumo.tv (en) - LiveNOWfromFOX.us@SD - Apr 24, 2026 (8 programs)
ℹ   [90/830] xumo.tv (en) - LiveNOWfromFOX.us@SD - Apr 25, 2026 (8 programs)
ℹ   [91/830] xumo.tv (en) - DocumentaryPlus.us@US - Apr 24, 2026 (29 programs)
ℹ   [92/830] xumo.tv (en) - AccuWeatherNOW.us@SD - Apr 24, 2026 (48 programs)
ℹ   [93/830] xumo.tv (en) - DocumentaryPlus.us@US - Apr 25, 2026 (25 programs)
ℹ   [94/830] xumo.tv (en) - AccuWeatherNOW.us@SD - Apr 25, 2026 (48 programs)
ℹ   [95/830] xumo.tv (en) - FoxWeather.us@SD - Apr 24, 2026 (13 programs)
ℹ   [96/830] xumo.tv (en) - FoxWeather.us@SD - Apr 25, 2026 (15 programs)
ℹ   [97/830] xumo.tv (en) - HallmarkMoviesMore.us@SD - Apr 24, 2026 (32 programs)
ℹ   [98/830] xumo.tv (en) - HallmarkMoviesMore.us@SD - Apr 25, 2026 (29 programs)
ℹ   [99/830] xumo.tv (en) - 0#99991745 - Apr 24, 2026 (18 programs)
ℹ   [100/830] xumo.tv (en) - 0#99991745 - Apr 25, 2026 (18 programs)
ℹ   [101/830] xumo.tv (en) - DarkMatterTV.us@SD - Apr 24, 2026 (18 programs)
ℹ   [102/830] xumo.tv (en) - DarkMatterTV.us@SD - Apr 25, 2026 (18 programs)
ℹ   [103/830] xumo.tv (en) - 50#99951134 - Apr 24, 2026 (35 programs)
ℹ   [104/830] xumo.tv (en) - 50#99951134 - Apr 25, 2026 (34 programs)
ℹ   [105/830] xumo.tv (en) - 50#99951158 - Apr 24, 2026 (27 programs)
