═══════════════════════════════════════════════════════════════
  Site            : webtv.delta.nl
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 690s
  Channels        : 494
  With programmes : 422
  Empty channels  : 72
  Total programs  : 14775
  Output size     : 7474372 bytes
  HTTP errors     :
    56 status code 404
  Other errors    :
    14 Cannot read properties of undefined (reading 'url')
  Last error      : Cannot read properties of undefined (reading 'url')
  Generated       : 2026-04-24 13:16:48
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:05:18 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=webtv.delta.nl --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ   [53/494] webtv.delta.nl (nl) - 100NLTV.nl@SD - Apr 24, 2026 (10 programs)
ℹ   [54/494] webtv.delta.nl (nl) - 100NLTV.nl@SD - Apr 25, 2026 (10 programs)
ℹ   [55/494] webtv.delta.nl (nl) - Ketnet.be@SD - Apr 24, 2026 (93 programs)
ℹ   [56/494] webtv.delta.nl (nl) - ComedyCentral.nl@SD - Apr 25, 2026 (44 programs)
ℹ   [57/494] webtv.delta.nl (nl) - ComedyCentral.nl@SD - Apr 24, 2026 (50 programs)
ℹ   [58/494] webtv.delta.nl (nl) - Ketnet.be@SD - Apr 25, 2026 (93 programs)
ℹ   [59/494] webtv.delta.nl (nl) - MTVHitsEurope.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [60/494] webtv.delta.nl (nl) - MTVHitsEurope.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [61/494] webtv.delta.nl (nl) - MTV.nl@SD - Apr 24, 2026 (43 programs)
ℹ   [62/494] webtv.delta.nl (nl) - MTV.nl@SD - Apr 25, 2026 (39 programs)
ℹ   [63/494] webtv.delta.nl (nl) - CartoonNetworkWesternEurope.uk@Netherlands - Apr 24, 2026 (118 programs)
ℹ   [64/494] webtv.delta.nl (nl) - CartoonNetworkWesternEurope.uk@Netherlands - Apr 25, 2026 (121 programs)
ℹ   [65/494] webtv.delta.nl (nl) - CartoonitoCEE.uk@SD - Apr 24, 2026 (121 programs)
ℹ   [66/494] webtv.delta.nl (nl) - NickJr.nl@SD - Apr 24, 2026 (92 programs)
ℹ   [67/494] webtv.delta.nl (nl) - CartoonitoCEE.uk@SD - Apr 25, 2026 (121 programs)
ℹ   [68/494] webtv.delta.nl (nl) - Nicktoons.nl@SD - Apr 24, 2026 (72 programs)
ℹ   [69/494] webtv.delta.nl (nl) - Nicktoons.nl@SD - Apr 25, 2026 (71 programs)
ℹ   [70/494] webtv.delta.nl (nl) - Nickelodeon.nl@SD - Apr 24, 2026 (65 programs)
ℹ   [71/494] webtv.delta.nl (nl) - NickJr.nl@SD - Apr 25, 2026 (86 programs)
ℹ   [72/494] webtv.delta.nl (nl) - Nickelodeon.nl@SD - Apr 25, 2026 (64 programs)
ℹ   [73/494] webtv.delta.nl (en) - CNNInternational.us@MENA - Apr 24, 2026 (30 programs)
ℹ   [74/494] webtv.delta.nl (en) - CNNInternational.us@MENA - Apr 25, 2026 (34 programs)
ℹ   [75/494] webtv.delta.nl (nl) - DiscoveryScience.us@SD - Apr 24, 2026 (40 programs)
ℹ   [76/494] webtv.delta.nl (nl) - DiscoveryScience.us@SD - Apr 25, 2026 (42 programs)
ℹ   [77/494] webtv.delta.nl (nl) - NationalGeographicWild.nl@SD - Apr 24, 2026 (33 programs)
ℹ   [78/494] webtv.delta.nl (nl) - NationalGeographicWild.nl@SD - Apr 25, 2026 (34 programs)
ℹ   [79/494] webtv.delta.nl (en) - BBCOne.uk@London - Apr 25, 2026 (22 programs)
ℹ   [80/494] webtv.delta.nl (en) - BBCOne.uk@London - Apr 24, 2026 (29 programs)
ℹ   [81/494] webtv.delta.nl (fr) - France2.fr@SD - Apr 24, 2026 (38 programs)
ℹ   [82/494] webtv.delta.nl (fr) - France2.fr@SD - Apr 25, 2026 (37 programs)
ℹ   [83/494] webtv.delta.nl (nl) - RTLZ.nl@SD - Apr 25, 2026 (42 programs)
ℹ   [84/494] webtv.delta.nl (nl) - RTLZ.nl@SD - Apr 24, 2026 (49 programs)
ℹ   [85/494] webtv.delta.nl (nl) - BBCFirst.uk@Benelux - Apr 24, 2026 (24 programs)
ℹ   [86/494] webtv.delta.nl (nl) - SBS9.nl@SD - Apr 24, 2026 (15 programs)
ℹ   [87/494] webtv.delta.nl (nl) - DisneyChannel.nl@SD - Apr 24, 2026 (63 programs)
