═══════════════════════════════════════════════════════════════
  Site            : tvcesoir.fr
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 29s
  Channels        : 270
  With programmes : 238
  Empty channels  : 32
  Total programs  : 7942
  Output size     : 1849938 bytes
  HTTP errors     :
    32 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:33:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:33:12 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvcesoir.fr --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 135 channel(s)
ℹ loading api data...
ℹ   [50/270] tvcesoir.fr (fr) - CrimeDistrict.fr@SD - Apr 25, 2026 (30 programs)
ℹ   [51/270] tvcesoir.fr (fr) - CanalPlusSport360.fr@SD - Apr 24, 2026 (29 programs)
ℹ   [52/270] tvcesoir.fr (fr) - CanalPlusSport360.fr@SD - Apr 25, 2026 (35 programs)
ℹ   [53/270] tvcesoir.fr (fr) - EuronewsFrench.fr@SD - Apr 25, 2026 (110 programs)
ℹ   [54/270] tvcesoir.fr (fr) - EuronewsFrench.fr@SD - Apr 24, 2026 (82 programs)
ℹ   [55/270] tvcesoir.fr (fr) - ComedyCentral.fr@SD - Apr 24, 2026 (63 programs)
ℹ   [56/270] tvcesoir.fr (fr) - ComedyCentral.fr@SD - Apr 25, 2026 (60 programs)
ℹ   [57/270] tvcesoir.fr (fr) - GongMax.fr@SD - Apr 24, 2026 (29 programs)
ℹ   [58/270] tvcesoir.fr (fr) - GongMax.fr@SD - Apr 25, 2026 (28 programs)
ℹ   [59/270] tvcesoir.fr (fr) - Gong.fr@SD - Apr 24, 2026 (43 programs)
ℹ   [60/270] tvcesoir.fr (fr) - Gong.fr@SD - Apr 25, 2026 (34 programs)
ℹ   [61/270] tvcesoir.fr (fr) - NovelasTV.fr@SD - Apr 24, 2026 (28 programs)
ℹ   [62/270] tvcesoir.fr (fr) - NovelasTV.fr@SD - Apr 25, 2026 (26 programs)
ℹ   [63/270] tvcesoir.fr (fr) - ParamountChannel.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [64/270] tvcesoir.fr (fr) - ParamountChannel.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [65/270] tvcesoir.fr (fr) - PolarPlus.fr@SD - Apr 24, 2026 (19 programs)
ℹ   [66/270] tvcesoir.fr (fr) - PolarPlus.fr@SD - Apr 25, 2026 (18 programs)
ℹ   [67/270] tvcesoir.fr (fr) - Franceinfo.fr@SD - Apr 24, 2026 (20 programs)
ℹ   [68/270] tvcesoir.fr (fr) - Franceinfo.fr@SD - Apr 25, 2026 (21 programs)
ℹ   [69/270] tvcesoir.fr (fr) - MTVHits.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [70/270] tvcesoir.fr (fr) - MTVHits.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [71/270] tvcesoir.fr (fr) - GameOne.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [72/270] tvcesoir.fr (fr) - GameOne.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [73/270] tvcesoir.fr (fr) - TF1SeriesFilms.fr@SD - Apr 24, 2026 (31 programs)
ℹ   [74/270] tvcesoir.fr (fr) - TF1SeriesFilms.fr@SD - Apr 25, 2026 (38 programs)
ℹ   [75/270] tvcesoir.fr (fr) - JOne.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [76/270] tvcesoir.fr (fr) - JOne.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [77/270] tvcesoir.fr (fr) - Gulli.fr@SD - Apr 24, 2026 (17 programs)
ℹ   [78/270] tvcesoir.fr (fr) - Gulli.fr@SD - Apr 25, 2026 (19 programs)
ℹ   [79/270] tvcesoir.fr (fr) - LaChaineMeteo.fr@SD - Apr 24, 2026 (6 programs)
ℹ   [80/270] tvcesoir.fr (fr) - LaChaineMeteo.fr@SD - Apr 25, 2026 (5 programs)
ℹ   [81/270] tvcesoir.fr (fr) - LEquipe.fr@SD - Apr 24, 2026 (13 programs)
ℹ   [82/270] tvcesoir.fr (fr) - LEquipe.fr@SD - Apr 25, 2026 (14 programs)
ℹ   [83/270] tvcesoir.fr (fr) - M6Music.fr@SD - Apr 24, 2026 (5 programs)
ℹ   [84/270] tvcesoir.fr (fr) - M6Music.fr@SD - Apr 25, 2026 (5 programs)
ℹ   [85/270] tvcesoir.fr (fr) - RMCSport2.fr@SD - Apr 24, 2026 (8 programs)
ℹ   [86/270] tvcesoir.fr (fr) - RMCSport2.fr@SD - Apr 25, 2026 (8 programs)
ℹ   [87/270] tvcesoir.fr (fr) - MTVHits.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [88/270] tvcesoir.fr (fr) - MTVHits.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [89/270] tvcesoir.fr (fr) - MensUPTV.fr@SD - Apr 24, 2026 (100 programs)
ℹ   [90/270] tvcesoir.fr (fr) - MensUPTV.fr@SD - Apr 25, 2026 (95 programs)
ℹ   [91/270] tvcesoir.fr (fr) - MezzoLive.fr@SD - Apr 24, 2026 (14 programs)
ℹ   [92/270] tvcesoir.fr (fr) - MezzoLive.fr@SD - Apr 25, 2026 (15 programs)
ℹ   [93/270] tvcesoir.fr (fr) - NickelodeonTeen.fr@SD - Apr 24, 2026 (68 programs)
ℹ   [94/270] tvcesoir.fr (fr) - NickelodeonTeen.fr@SD - Apr 25, 2026 (63 programs)
ℹ   [95/270] tvcesoir.fr (fr) - NickelodeonJunior.fr@SD - Apr 24, 2026 (116 programs)
ℹ   [96/270] tvcesoir.fr (fr) - RMCStory.fr@SD - Apr 24, 2026 (22 programs)
ℹ   [97/270] tvcesoir.fr (fr) - NickelodeonJunior.fr@SD - Apr 25, 2026 (113 programs)
ℹ   [98/270] tvcesoir.fr (fr) - RMCStory.fr@SD - Apr 25, 2026 (37 programs)
ℹ   [99/270] tvcesoir.fr (fr) - NRJHits.fr@SD - Apr 24, 2026 (8 programs)
ℹ   [100/270] tvcesoir.fr (fr) - NRJHits.fr@SD - Apr 25, 2026 (8 programs)
ℹ   [101/270] tvcesoir.fr (fr) - OCSGeants.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [102/270] tvcesoir.fr (fr) - OCSGeants.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [103/270] tvcesoir.fr (fr) - OLTV.fr@SD - Apr 24, 2026 (16 programs)
ℹ   [104/270] tvcesoir.fr (fr) - OLTV.fr@SD - Apr 25, 2026 (15 programs)
ℹ   [105/270] tvcesoir.fr (fr) - OCSPulp.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [106/270] tvcesoir.fr (fr) - OCSPulp.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [107/270] tvcesoir.fr (fr) - OCSMax.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [108/270] tvcesoir.fr (fr) - OCSMax.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [109/270] tvcesoir.fr (fr) - PublicSenat2424.fr@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [110/270] tvcesoir.fr (fr) - PublicSenat2424.fr@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [111/270] tvcesoir.fr (fr) - arte.fr@SD - Apr 24, 2026 (28 programs)
