═══════════════════════════════════════════════════════════════
  Site            : dishtv.in
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 141s
  Channels        : 1206
  With programmes : 1181
  Empty channels  : 25
  Total programs  : 40206
  Output size     : 65483156 bytes
  Other errors    :
    1 Cannot read properties of null (reading 'token')
  Last error      : Cannot read properties of null (reading 'token')
  Generated       : 2026-04-24 10:50:49
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:48:28 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=dishtv.in --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 603 channel(s)
ℹ loading api data...
ℹ   [57/1206] dishtv.in (en) - Andflix.in@HD - Apr 25, 2026 (8 programs)
ℹ   [58/1206] dishtv.in (en) - Andpictures.in@SD - Apr 24, 2026 (11 programs)
ℹ   [59/1206] dishtv.in (en) - Andpictures.in@SD - Apr 25, 2026 (9 programs)
ℹ   [60/1206] dishtv.in (en) - Andpictures.in@HD - Apr 24, 2026 (10 programs)
ℹ   [61/1206] dishtv.in (en) - Andpictures.in@HD - Apr 25, 2026 (9 programs)
ℹ   [62/1206] dishtv.in (en) - AndpriveHD.in@SD - Apr 25, 2026 (0 programs)
ℹ   [63/1206] dishtv.in (en) - AndpriveHD.in@SD - Apr 24, 2026 (0 programs)
ℹ   [64/1206] dishtv.in (en) - AndTV.in@SD - Apr 24, 2026 (41 programs)
ℹ   [65/1206] dishtv.in (en) - AndTV.in@SD - Apr 25, 2026 (35 programs)
ℹ   [66/1206] dishtv.in (en) - AndTV.in@HD - Apr 25, 2026 (36 programs)
ℹ   [67/1206] dishtv.in (en) - AndTV.in@HD - Apr 24, 2026 (41 programs)
ℹ   [68/1206] dishtv.in (en) - AradanaTV.in@SD - Apr 24, 2026 (48 programs)
ℹ   [69/1206] dishtv.in (en) - AradanaTV.in@SD - Apr 25, 2026 (48 programs)
ℹ   [70/1206] dishtv.in (en) - ArgusNews.in@SD - Apr 24, 2026 (58 programs)
ℹ   [71/1206] dishtv.in (en) - ArgusNews.in@SD - Apr 25, 2026 (58 programs)
ℹ   [72/1206] dishtv.in (en) - 142651 - Apr 24, 2026 (46 programs)
ℹ   [73/1206] dishtv.in (en) - 142651 - Apr 25, 2026 (46 programs)
ℹ   [74/1206] dishtv.in (en) - Asianet.in@SD - Apr 24, 2026 (31 programs)
ℹ   [75/1206] dishtv.in (en) - Asianet.in@SD - Apr 25, 2026 (10 programs)
ℹ   [76/1206] dishtv.in (en) - Asianet.in@HD - Apr 24, 2026 (31 programs)
ℹ   [77/1206] dishtv.in (en) - Asianet.in@HD - Apr 25, 2026 (10 programs)
ℹ   [78/1206] dishtv.in (en) - AsianetMovies.in@SD - Apr 24, 2026 (9 programs)
ℹ   [79/1206] dishtv.in (en) - AsianetMovies.in@SD - Apr 25, 2026 (8 programs)
ℹ   [80/1206] dishtv.in (en) - AsianetNews.in@SD - Apr 24, 2026 (60 programs)
ℹ   [81/1206] dishtv.in (en) - AsianetNews.in@SD - Apr 25, 2026 (60 programs)
ℹ   [82/1206] dishtv.in (en) - AsianetPlus.in - Apr 24, 2026 (21 programs)
ℹ   [83/1206] dishtv.in (en) - AsianetPlus.in - Apr 25, 2026 (9 programs)
ℹ   [84/1206] dishtv.in (en) - AsianetSuvarnaNews.in@SD - Apr 24, 2026 (48 programs)
ℹ   [85/1206] dishtv.in (en) - AsianetSuvarnaNews.in@SD - Apr 25, 2026 (41 programs)
ℹ   [86/1206] dishtv.in (en) - AssamTalks.in@SD - Apr 24, 2026 (48 programs)
ℹ   [87/1206] dishtv.in (en) - AssamTalks.in@SD - Apr 25, 2026 (48 programs)
ℹ   [88/1206] dishtv.in (en) - AyushTV.in@SD - Apr 24, 2026 (32 programs)
ℹ   [89/1206] dishtv.in (en) - AyushTV.in@SD - Apr 25, 2026 (27 programs)
ℹ   [90/1206] dishtv.in (en) - B4UBhojpuri.in@SD - Apr 24, 2026 (8 programs)
