═══════════════════════════════════════════════════════════════
  Site            : tv-spored.siol.net
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 153s
  Channels        : 624
  With programmes : 555
  Empty channels  : 69
  Total programs  : 16180
  Output size     : 3632568 bytes
  HTTP errors     :
    3 status code 500
  Last error      : Request failed with status code 500
  Generated       : 2026-04-24 12:59:21
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:56:48 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv-spored.siol.net --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 312 channel(s)
ℹ loading api data...
ℹ   [59/624] tv-spored.siol.net (sl) - bht1_ - Apr 25, 2026 (29 programs)
ℹ   [60/624] tv-spored.siol.net (sl) - bbcworld - Apr 24, 2026 (60 programs)
ℹ   [61/624] tv-spored.siol.net (sl) - bht1_ - Apr 24, 2026 (30 programs)
ℹ   [62/624] tv-spored.siol.net (sl) - bbcworld - Apr 25, 2026 (44 programs)
ℹ   [63/624] tv-spored.siol.net (sl) - bir - Apr 24, 2026 (55 programs)
ℹ   [64/624] tv-spored.siol.net (sl) - bir - Apr 25, 2026 (47 programs)
ℹ   [65/624] tv-spored.siol.net (sl) - bktv - Apr 24, 2026 (20 programs)
ℹ   [66/624] tv-spored.siol.net (sl) - bktv - Apr 25, 2026 (22 programs)
ℹ   [67/624] tv-spored.siol.net (sl) - bloombergadria - Apr 24, 2026 (64 programs)
ℹ   [68/624] tv-spored.siol.net (sl) - bloombergadria - Apr 25, 2026 (49 programs)
ℹ   [69/624] tv-spored.siol.net (sl) - bntv - Apr 24, 2026 (24 programs)
ℹ   [70/624] tv-spored.siol.net (sl) - bntv - Apr 25, 2026 (14 programs)
ℹ   [71/624] tv-spored.siol.net (sl) - boobhd - Apr 24, 2026 (0 programs)
ℹ   [72/624] tv-spored.siol.net (sl) - boomerang - Apr 24, 2026 (124 programs)
ℹ   [73/624] tv-spored.siol.net (sl) - boobhd - Apr 25, 2026 (0 programs)
ℹ   [74/624] tv-spored.siol.net (sl) - boomerang - Apr 25, 2026 (121 programs)
ℹ   [75/624] tv-spored.siol.net (sl) - brio - Apr 24, 2026 (31 programs)
ℹ   [76/624] tv-spored.siol.net (sl) - brio - Apr 25, 2026 (30 programs)
ℹ   [77/624] tv-spored.siol.net (sl) - capableholehd - Apr 24, 2026 (0 programs)
ℹ   [78/624] tv-spored.siol.net (sl) - carlitv - Apr 24, 2026 (50 programs)
ℹ   [79/624] tv-spored.siol.net (sl) - capableholehd - Apr 25, 2026 (0 programs)
ℹ   [80/624] tv-spored.siol.net (sl) - carlitv - Apr 25, 2026 (57 programs)
ℹ   [81/624] tv-spored.siol.net (sl) - cartoon - Apr 24, 2026 (108 programs)
ℹ   [82/624] tv-spored.siol.net (sl) - cartoon - Apr 25, 2026 (111 programs)
ℹ   [83/624] tv-spored.siol.net (sl) - cinemax1 - Apr 25, 2026 (12 programs)
ℹ   [84/624] tv-spored.siol.net (sl) - cinemax1 - Apr 24, 2026 (14 programs)
ℹ   [85/624] tv-spored.siol.net (sl) - cinemax2 - Apr 24, 2026 (13 programs)
ℹ   [86/624] tv-spored.siol.net (sl) - cinemax2 - Apr 25, 2026 (11 programs)
ℹ   [87/624] tv-spored.siol.net (sl) - cinestaraction - Apr 24, 2026 (11 programs)
