═══════════════════════════════════════════════════════════════
  Site            : tataplay.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 320s
  Channels        : 2194
  With programmes : 2125
  Empty channels  : 69
  Total programs  : 69917
  Output size     : 23233016 bytes
  Generated       : 2026-04-24 12:19:20
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:14:00 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tataplay.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 1097 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [68/2194] tataplay.com (en) - 194 - Apr 25, 2026 (12 programs)
ℹ   [69/2194] tataplay.com (en) - 210 - Apr 24, 2026 (13 programs)
ℹ   [70/2194] tataplay.com (en) - 210 - Apr 25, 2026 (13 programs)
ℹ   [71/2194] tataplay.com (en) - 212 - Apr 25, 2026 (63 programs)
ℹ   [72/2194] tataplay.com (en) - 212 - Apr 24, 2026 (52 programs)
ℹ   [73/2194] tataplay.com (en) - 213 - Apr 24, 2026 (52 programs)
ℹ   [74/2194] tataplay.com (en) - 234 - Apr 24, 2026 (15 programs)
ℹ   [75/2194] tataplay.com (en) - 250 - Apr 24, 2026 (32 programs)
ℹ   [76/2194] tataplay.com (en) - 213 - Apr 25, 2026 (43 programs)
ℹ   [77/2194] tataplay.com (en) - 234 - Apr 25, 2026 (16 programs)
ℹ   [78/2194] tataplay.com (en) - 250 - Apr 25, 2026 (26 programs)
ℹ   [79/2194] tataplay.com (en) - 251 - Apr 24, 2026 (41 programs)
ℹ   [80/2194] tataplay.com (en) - 251 - Apr 25, 2026 (34 programs)
ℹ   [81/2194] tataplay.com (en) - 252 - Apr 25, 2026 (10 programs)
ℹ   [82/2194] tataplay.com (en) - 252 - Apr 24, 2026 (11 programs)
ℹ   [83/2194] tataplay.com (en) - 253 - Apr 24, 2026 (40 programs)
ℹ   [84/2194] tataplay.com (en) - 253 - Apr 25, 2026 (38 programs)
ℹ   [85/2194] tataplay.com (en) - 256 - Apr 24, 2026 (39 programs)
ℹ   [86/2194] tataplay.com (en) - 256 - Apr 25, 2026 (27 programs)
ℹ   [87/2194] tataplay.com (en) - 257 - Apr 24, 2026 (47 programs)
ℹ   [88/2194] tataplay.com (en) - 257 - Apr 25, 2026 (43 programs)
ℹ   [89/2194] tataplay.com (en) - 259 - Apr 24, 2026 (48 programs)
ℹ   [90/2194] tataplay.com (en) - 288 - Apr 24, 2026 (46 programs)
ℹ   [91/2194] tataplay.com (en) - 259 - Apr 25, 2026 (48 programs)
ℹ   [92/2194] tataplay.com (en) - 288 - Apr 25, 2026 (46 programs)
ℹ   [93/2194] tataplay.com (en) - 319 - Apr 24, 2026 (20 programs)
ℹ   [94/2194] tataplay.com (en) - 319 - Apr 25, 2026 (21 programs)
ℹ   [95/2194] tataplay.com (en) - 331 - Apr 24, 2026 (33 programs)
ℹ   [96/2194] tataplay.com (en) - 331 - Apr 25, 2026 (34 programs)
ℹ   [97/2194] tataplay.com (en) - 341 - Apr 24, 2026 (31 programs)
ℹ   [98/2194] tataplay.com (en) - 356 - Apr 24, 2026 (43 programs)
ℹ   [99/2194] tataplay.com (en) - 341 - Apr 25, 2026 (17 programs)
ℹ   [100/2194] tataplay.com (en) - 368 - Apr 24, 2026 (6 programs)
ℹ   [101/2194] tataplay.com (en) - 356 - Apr 25, 2026 (33 programs)
ℹ   [102/2194] tataplay.com (en) - 368 - Apr 25, 2026 (6 programs)
ℹ   [103/2194] tataplay.com (en) - 384 - Apr 24, 2026 (46 programs)
ℹ   [104/2194] tataplay.com (en) - 384 - Apr 25, 2026 (46 programs)
ℹ   [105/2194] tataplay.com (en) - 385 - Apr 24, 2026 (32 programs)
ℹ   [106/2194] tataplay.com (en) - 385 - Apr 25, 2026 (29 programs)
ℹ   [107/2194] tataplay.com (en) - 391 - Apr 24, 2026 (51 programs)
ℹ   [108/2194] tataplay.com (en) - 391 - Apr 25, 2026 (51 programs)
