═══════════════════════════════════════════════════════════════
  Site            : tvtv.us
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 374s
  Channels        : 4598
  With programmes : 398
  Empty channels  : 4200
  Total programs  : 12033
  Output size     : 2294927 bytes
  HTTP errors     :
    4190 status code 429
    8 status code 403
  Last error      : Request failed with status code 429
  Generated       : 2026-04-24 13:03:58
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:57:44 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvtv.us --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 2299 channel(s)
ℹ   [55/4598] tvtv.us (en) - CSPAN2.us@SD - Apr 24, 2026 (14 programs)
ℹ   [56/4598] tvtv.us (en) - CSPAN2.us@SD - Apr 25, 2026 (15 programs)
ℹ   [57/4598] tvtv.us (en) - WildBrainTV.ca@SD - Apr 24, 2026 (0 programs)
ℹ   [58/4598] tvtv.us (en) - DisneyChannel.us@East - Apr 24, 2026 (48 programs)
ℹ   [59/4598] tvtv.us (en) - DisneyChannel.us@East - Apr 25, 2026 (45 programs)
ℹ   [60/4598] tvtv.us (en) - WildBrainTV.ca@SD - Apr 25, 2026 (0 programs)
ℹ   [61/4598] tvtv.us (en) - StarzEncore.us@East - Apr 24, 2026 (13 programs)
ℹ   [62/4598] tvtv.us (en) - StarzEncore.us@East - Apr 25, 2026 (15 programs)
ℹ   [63/4598] tvtv.us (en) - ESPN.us@SD - Apr 25, 2026 (16 programs)
ℹ   [64/4598] tvtv.us (en) - ESPN.us@SD - Apr 24, 2026 (18 programs)
ℹ   [65/4598] tvtv.us (en) - EWTN.us@English - Apr 24, 2026 (44 programs)
ℹ   [66/4598] tvtv.us (en) - EWTN.us@English - Apr 25, 2026 (38 programs)
ℹ   [67/4598] tvtv.us (en) - Flix.us@East - Apr 24, 2026 (14 programs)
ℹ   [68/4598] tvtv.us (en) - Flix.us@East - Apr 25, 2026 (14 programs)
ℹ   [69/4598] tvtv.us (en) - Fox.us@East - Apr 24, 2026 (6 programs)
ℹ   [70/4598] tvtv.us (en) - Fox.us@East - Apr 25, 2026 (10 programs)
ℹ   [71/4598] tvtv.us (en) - Galavision.us@East - Apr 24, 2026 (34 programs)
ℹ   [72/4598] tvtv.us (en) - Galavision.us@East - Apr 25, 2026 (27 programs)
ℹ   [73/4598] tvtv.us (en) - HBO.us@East - Apr 25, 2026 (19 programs)
ℹ   [74/4598] tvtv.us (en) - HBO.us@East - Apr 24, 2026 (22 programs)
ℹ   [75/4598] tvtv.us (en) - HBO2.us@East - Apr 24, 2026 (18 programs)
ℹ   [76/4598] tvtv.us (en) - HBO2.us@East - Apr 25, 2026 (19 programs)
ℹ   [77/4598] tvtv.us (en) - HBO2.us@West - Apr 24, 2026 (20 programs)
ℹ   [78/4598] tvtv.us (en) - HBO2.us@West - Apr 25, 2026 (19 programs)
ℹ   [79/4598] tvtv.us (en) - HBOSignature.us@East - Apr 24, 2026 (19 programs)
