═══════════════════════════════════════════════════════════════
  Site            : freeview.co.uk
  Status          : PASS
  Attempts used   : 4 / 10
  Total elapsed   : 4486s
  Channels        : 2343
  With programmes : 2339
  Empty channels  : 4
  Total programs  : 17611
  Output size     : 6500581 bytes
  Generated       : 2026-04-24 12:12:18
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:57:32 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=freeview.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 352 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [61/704] freeview.co.uk (en) - 64257#16360 - Apr 24, 2026 (12 programs)
ℹ   [62/704] freeview.co.uk (en) - 64257#16360 - Apr 25, 2026 (12 programs)
ℹ   [63/704] freeview.co.uk (en) - 64257#16376 - Apr 24, 2026 (32 programs)
ℹ   [64/704] freeview.co.uk (en) - 64257#16394 - Apr 24, 2026 (27 programs)
ℹ   [65/704] freeview.co.uk (en) - 64257#16376 - Apr 25, 2026 (32 programs)
ℹ   [66/704] freeview.co.uk (en) - 64257#16224 - Apr 25, 2026 (84 programs)
ℹ   [67/704] freeview.co.uk (en) - 64257#16394 - Apr 25, 2026 (25 programs)
ℹ   [68/704] freeview.co.uk (en) - 64257#22624 - Apr 24, 2026 (11 programs)
ℹ   [69/704] freeview.co.uk (en) - 64257#22656 - Apr 24, 2026 (8 programs)
ℹ   [70/704] freeview.co.uk (en) - 64257#22624 - Apr 25, 2026 (15 programs)
ℹ   [71/704] freeview.co.uk (en) - 64257#16224 - Apr 24, 2026 (120 programs)
ℹ   [72/704] freeview.co.uk (en) - 64257#22656 - Apr 25, 2026 (7 programs)
ℹ   [73/704] freeview.co.uk (en) - 64257#22688 - Apr 25, 2026 (7 programs)
ℹ   [74/704] freeview.co.uk (en) - 64257#22688 - Apr 24, 2026 (8 programs)
ℹ   [75/704] freeview.co.uk (en) - 64257#22848 - Apr 24, 2026 (11 programs)
ℹ   [76/704] freeview.co.uk (en) - 64257#22848 - Apr 25, 2026 (10 programs)
ℹ   [77/704] freeview.co.uk (en) - 64257#22880 - Apr 24, 2026 (8 programs)
ℹ   [78/704] freeview.co.uk (en) - 64257#22880 - Apr 25, 2026 (9 programs)
ℹ   [79/704] freeview.co.uk (en) - 64257#23184 - Apr 24, 2026 (20 programs)
ℹ   [80/704] freeview.co.uk (en) - 64257#23152 - Apr 24, 2026 (36 programs)
ℹ   [81/704] freeview.co.uk (en) - 64257#16400 - Apr 25, 2026 (92 programs)
ℹ   [82/704] freeview.co.uk (en) - 64257#23152 - Apr 25, 2026 (36 programs)
ℹ   [83/704] freeview.co.uk (en) - 64257#16400 - Apr 24, 2026 (92 programs)
ℹ   [84/704] freeview.co.uk (en) - 64257#23904 - Apr 24, 2026 (6 programs)
ℹ   [85/704] freeview.co.uk (en) - 64257#23904 - Apr 25, 2026 (6 programs)
ℹ   [86/704] freeview.co.uk (en) - 64257#23184 - Apr 25, 2026 (19 programs)
ℹ   [87/704] freeview.co.uk (en) - 64257#26368 - Apr 24, 2026 (8 programs)
ℹ   [88/704] freeview.co.uk (en) - 64257#26368 - Apr 25, 2026 (7 programs)
ℹ   [89/704] freeview.co.uk (en) - 64257#23680 - Apr 24, 2026 (24 programs)
ℹ   [90/704] freeview.co.uk (en) - 64257#23680 - Apr 25, 2026 (24 programs)
ℹ   [91/704] freeview.co.uk (en) - 64257#27232 - Apr 24, 2026 (32 programs)
ℹ   [92/704] freeview.co.uk (en) - 64257#27232 - Apr 25, 2026 (32 programs)
ℹ   [93/704] freeview.co.uk (en) - 64257#27808 - Apr 24, 2026 (29 programs)
ℹ   [94/704] freeview.co.uk (en) - 64257#27744 - Apr 24, 2026 (35 programs)
ℹ   [95/704] freeview.co.uk (en) - 64257#28032 - Apr 24, 2026 (4 programs)
ℹ   [96/704] freeview.co.uk (en) - 64257#27744 - Apr 25, 2026 (32 programs)
ℹ   [97/704] freeview.co.uk (en) - 64257#28032 - Apr 25, 2026 (4 programs)
ℹ   [98/704] freeview.co.uk (en) - 64257#28352 - Apr 24, 2026 (7 programs)
ℹ   [99/704] freeview.co.uk (en) - 64257#28352 - Apr 25, 2026 (7 programs)
