═══════════════════════════════════════════════════════════════
  Site            : startimestv.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 25s
  Channels        : 154
  With programmes : 135
  Empty channels  : 19
  Total programs  : 4578
  Output size     : 1300691 bytes
  HTTP errors     :
    3 status code 502
  Last error      : Request failed with status code 502
  Generated       : 2026-04-24 12:04:48
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:04:23 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=startimestv.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 77 channel(s)
ℹ loading api data...
ℹ   [56/154] startimestv.com (en) - STKungfu.cn@SD - Apr 25, 2026 (24 programs)
ℹ   [57/154] startimestv.com (en) - STSinoDrama.cn@SD - Apr 25, 2026 (29 programs)
ℹ   [58/154] startimestv.com (en) - STSinoDrama.cn@SD - Apr 24, 2026 (30 programs)
ℹ   [59/154] startimestv.com (en) - TCMCinema.fr@SD - Apr 24, 2026 (16 programs)
ℹ   [60/154] startimestv.com (en) - TCMCinema.fr@SD - Apr 25, 2026 (18 programs)
ℹ   [61/154] startimestv.com (pt) - DisneyChannel.pt@SD - Apr 24, 2026 (64 programs)
ℹ   [62/154] startimestv.com (pt) - DisneyChannel.pt@SD - Apr 25, 2026 (59 programs)
ℹ   [63/154] startimestv.com (fr) - CGTNFrench.cn@SD - Apr 24, 2026 (42 programs)
ℹ   [64/154] startimestv.com (fr) - CGTNFrench.cn@SD - Apr 25, 2026 (39 programs)
ℹ   [65/154] startimestv.com (pt) - DisneyJunior.pt@SD - Apr 24, 2026 (97 programs)
ℹ   [66/154] startimestv.com (pt) - DisneyJunior.pt@SD - Apr 25, 2026 (90 programs)
ℹ   [67/154] startimestv.com (pt) - 514 - Apr 25, 2026 (28 programs)
ℹ   [68/154] startimestv.com (pt) - 514 - Apr 24, 2026 (28 programs)
ℹ   [69/154] startimestv.com (pt) - TLNNetwork.mx@SD - Apr 24, 2026 (33 programs)
ℹ   [70/154] startimestv.com (pt) - TLNNetwork.mx@SD - Apr 25, 2026 (8 programs)
ℹ   [71/154] startimestv.com (pt) - AMCEurope.uk@Portugal - Apr 24, 2026 (0 programs)
ℹ   [72/154] startimestv.com (pt) - AMCEurope.uk@Portugal - Apr 25, 2026 (0 programs)
ℹ   [73/154] startimestv.com (en) - Fox.pt@SD - Apr 25, 2026 (23 programs)
ℹ   [74/154] startimestv.com (en) - Fox.pt@SD - Apr 24, 2026 (31 programs)
ℹ   [75/154] startimestv.com (en) - STYoruba.cn@SD - Apr 24, 2026 (16 programs)
ℹ   [76/154] startimestv.com (en) - NationalGeographicSouthAfrica.za@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [77/154] startimestv.com (en) - STYoruba.cn@SD - Apr 25, 2026 (12 programs)
ℹ   [78/154] startimestv.com (en) - NationalGeographicSouthAfrica.za@SD - Apr 25, 2026 (36 programs)
ℹ   [79/154] startimestv.com (en) - 648 - Apr 24, 2026 (18 programs)
ℹ   [80/154] startimestv.com (en) - 648 - Apr 25, 2026 (19 programs)
ℹ   [81/154] startimestv.com (en) - STWorldFootball.cn@SD - Apr 24, 2026 (20 programs)
ℹ   [82/154] startimestv.com (en) - STWorldFootball.cn@SD - Apr 25, 2026 (18 programs)
ℹ   [83/154] startimestv.com (en) - STNovelaEPlus.cn@SD - Apr 25, 2026 (30 programs)
ℹ   [84/154] startimestv.com (en) - STNovelaEPlus.cn@SD - Apr 24, 2026 (32 programs)
ℹ   [85/154] startimestv.com (fr) - STNovelaFPlus.cn@SD - Apr 24, 2026 (26 programs)
ℹ   [86/154] startimestv.com (fr) - STNovelaFPlus.cn@SD - Apr 25, 2026 (27 programs)
ℹ   [87/154] startimestv.com (en) - 708 - Apr 24, 2026 (0 programs)
ℹ   [88/154] startimestv.com (en) - 708 - Apr 25, 2026 (0 programs)
ℹ   [89/154] startimestv.com (en) - 709 - Apr 24, 2026 (17 programs)
ℹ   [90/154] startimestv.com (en) - 709 - Apr 25, 2026 (16 programs)
ℹ   [91/154] startimestv.com (en) - STChineseHomeland.cn@SD - Apr 24, 2026 (0 programs)
ℹ   [92/154] startimestv.com (en) - STChineseHomeland.cn@SD - Apr 25, 2026 (0 programs)
ℹ   [93/154] startimestv.com (en) - Arewa24.ng@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 502
ℹ   [94/154] startimestv.com (en) - Arewa24.ng@SD - Apr 24, 2026 (26 programs)
ℹ   [95/154] startimestv.com (en) - 166494172 - Apr 25, 2026 (37 programs)
ℹ   [96/154] startimestv.com (en) - 166494172 - Apr 24, 2026 (37 programs)
ℹ   [97/154] startimestv.com (en) - 168556647 - Apr 24, 2026 (31 programs)
ℹ   [98/154] startimestv.com (en) - 168556647 - Apr 25, 2026 (29 programs)
ℹ   [99/154] startimestv.com (en) - 257840078 - Apr 24, 2026 (0 programs)
ℹ   [100/154] startimestv.com (en) - 257840078 - Apr 25, 2026 (0 programs)
ℹ   [101/154] startimestv.com (en) - 301153275 - Apr 24, 2026 (49 programs)
ℹ   [102/154] startimestv.com (en) - 301153275 - Apr 25, 2026 (49 programs)
ℹ   [103/154] startimestv.com (en) - 343829804 - Apr 24, 2026 (29 programs)
ℹ   [104/154] startimestv.com (en) - 343829804 - Apr 25, 2026 (29 programs)
ℹ   [105/154] startimestv.com (en) - 426003040 - Apr 24, 2026 (13 programs)
ℹ   [106/154] startimestv.com (en) - 426003040 - Apr 25, 2026 (14 programs)
ℹ   [107/154] startimestv.com (en) - WarnerTV.fr@SD - Apr 24, 2026 (37 programs)
ℹ   [108/154] startimestv.com (en) - WarnerTV.fr@SD - Apr 25, 2026 (52 programs)
ℹ   [109/154] startimestv.com (en) - 617598439 - Apr 24, 2026 (0 programs)
ℹ   [110/154] startimestv.com (en) - 617598439 - Apr 25, 2026 (0 programs)
ℹ   [111/154] startimestv.com (en) - ZeeMagic.fr@SD - Apr 24, 2026 (24 programs)
ℹ   [112/154] startimestv.com (en) - ZeeMagic.fr@SD - Apr 25, 2026 (24 programs)
ℹ   [113/154] startimestv.com (en) - STKids.cn@SD - Apr 24, 2026 (54 programs)
ℹ   [114/154] startimestv.com (en) - STKids.cn@SD - Apr 25, 2026 (42 programs)
ℹ   [115/154] startimestv.com (en) - ZeeOneAfrica.za@SD - Apr 24, 2026 (26 programs)
ℹ   [116/154] startimestv.com (en) - ZeeOneAfrica.za@SD - Apr 25, 2026 (26 programs)
ℹ   [117/154] startimestv.com (en) - AfricanMovieChannel.uk@SD - Apr 25, 2026 (15 programs)
ℹ   [118/154] startimestv.com (en) - AfricanMovieChannel.uk@SD - Apr 24, 2026 (16 programs)
ℹ   [119/154] startimestv.com (en) - 1031981242 - Apr 24, 2026 (15 programs)
ℹ   [120/154] startimestv.com (en) - 1031981242 - Apr 25, 2026 (11 programs)
ℹ   [121/154] startimestv.com (en) - 1291168734 - Apr 24, 2026 (13 programs)
