═══════════════════════════════════════════════════════════════
  Site            : pickx.be
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 137s
  Channels        : 808
  With programmes : 736
  Empty channels  : 72
  Total programs  : 52730
  Output size     : 35673740 bytes
  Generated       : 2026-04-24 11:38:12
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:35:55 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=pickx.be --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 404 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [59/808] pickx.be (fr) - UID0131 - Apr 25, 2026 (17 programs)
ℹ   [60/808] pickx.be (nl) - BBCFirst.uk@Benelux - Apr 25, 2026 (50 programs)
ℹ   [61/808] pickx.be (fr) - UID0133 - Apr 25, 2026 (58 programs)
ℹ   [62/808] pickx.be (fr) - TVLux.be@SD - Apr 24, 2026 (114 programs)
ℹ   [63/808] pickx.be (fr) - UID0131 - Apr 24, 2026 (17 programs)
ℹ   [64/808] pickx.be (nl) - Nickelodeon.nl@HD - Apr 24, 2026 (132 programs)
ℹ   [65/808] pickx.be (nl) - Nickelodeon.nl@HD - Apr 25, 2026 (130 programs)
ℹ   [66/808] pickx.be (nl) - UID0142 - Apr 24, 2026 (68 programs)
ℹ   [67/808] pickx.be (nl) - UID0142 - Apr 25, 2026 (68 programs)
ℹ   [68/808] pickx.be (fr) - UID0145 - Apr 25, 2026 (0 programs)
ℹ   [69/808] pickx.be (fr) - UID0145 - Apr 24, 2026 (0 programs)
ℹ   [70/808] pickx.be (nl) - Play6.be@SD - Apr 24, 2026 (53 programs)
ℹ   [71/808] pickx.be (nl) - Play6.be@HD - Apr 25, 2026 (54 programs)
ℹ   [72/808] pickx.be (fr) - UID0133 - Apr 24, 2026 (61 programs)
ℹ   [73/808] pickx.be (fr) - France24.fr@FrenchHD - Apr 24, 2026 (200 programs)
ℹ   [74/808] pickx.be (nl) - Play6.be@HD - Apr 24, 2026 (53 programs)
ℹ   [75/808] pickx.be (nl) - Play6.be@SD - Apr 25, 2026 (54 programs)
ℹ   [76/808] pickx.be (fr) - France24.fr@FrenchHD - Apr 25, 2026 (190 programs)
