═══════════════════════════════════════════════════════════════
  Site            : epg.telemach.ba
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 106s
  Channels        : 952
  With programmes : 668
  Empty channels  : 284
  Total programs  : 24179
  Output size     : 10845555 bytes
  HTTP errors     :
    284 status code 400
  Last error      : Request failed with status code 400
  Generated       : 2026-04-24 10:56:10
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:54:24 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=epg.telemach.ba --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 476 channel(s)
ℹ loading api data...
ℹ   [59/952] epg.telemach.ba (hr) - 479 - Apr 24, 2026 (18 programs)
ℹ   [60/952] epg.telemach.ba (hr) - 479 - Apr 25, 2026 (13 programs)
ℹ   [61/952] epg.telemach.ba (hr) - 480 - Apr 24, 2026 (28 programs)
ℹ   [62/952] epg.telemach.ba (hr) - 480 - Apr 25, 2026 (27 programs)
ℹ   [63/952] epg.telemach.ba (hr) - 481 - Apr 24, 2026 (50 programs)
ℹ   [64/952] epg.telemach.ba (hr) - 482 - Apr 24, 2026 (49 programs)
ℹ   [65/952] epg.telemach.ba (hr) - 482 - Apr 25, 2026 (34 programs)
ℹ   [66/952] epg.telemach.ba (hr) - 481 - Apr 25, 2026 (58 programs)
ℹ   [67/952] epg.telemach.ba (hr) - 483 - Apr 24, 2026 (22 programs)
ℹ   [68/952] epg.telemach.ba (hr) - 483 - Apr 25, 2026 (22 programs)
ℹ   [69/952] epg.telemach.ba (hr) - 484 - Apr 24, 2026 (25 programs)
ℹ   [70/952] epg.telemach.ba (hr) - 484 - Apr 25, 2026 (25 programs)
ℹ   [71/952] epg.telemach.ba (hr) - 485 - Apr 24, 2026 (21 programs)
ℹ   [72/952] epg.telemach.ba (hr) - 485 - Apr 25, 2026 (19 programs)
ℹ   [73/952] epg.telemach.ba (hr) - 486 - Apr 25, 2026 (44 programs)
ℹ   [74/952] epg.telemach.ba (hr) - 486 - Apr 24, 2026 (44 programs)
ℹ   [75/952] epg.telemach.ba (hr) - 492 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [76/952] epg.telemach.ba (hr) - 489 - Apr 25, 2026 (41 programs)
ℹ   [77/952] epg.telemach.ba (hr) - 489 - Apr 24, 2026 (52 programs)
ℹ   [78/952] epg.telemach.ba (hr) - 492 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [79/952] epg.telemach.ba (hr) - 493 - Apr 24, 2026 (15 programs)
ℹ   [80/952] epg.telemach.ba (hr) - 493 - Apr 25, 2026 (13 programs)
ℹ   [81/952] epg.telemach.ba (hr) - 495 - Apr 24, 2026 (16 programs)
ℹ   [82/952] epg.telemach.ba (hr) - 495 - Apr 25, 2026 (13 programs)
ℹ   [83/952] epg.telemach.ba (hr) - 494 - Apr 25, 2026 (67 programs)
ℹ   [84/952] epg.telemach.ba (hr) - 494 - Apr 24, 2026 (66 programs)
ℹ   [85/952] epg.telemach.ba (hr) - 504 - Apr 24, 2026 (25 programs)
ℹ   [86/952] epg.telemach.ba (hr) - 496 - Apr 25, 2026 (11 programs)
ℹ   [87/952] epg.telemach.ba (hr) - 496 - Apr 24, 2026 (11 programs)
ℹ   [88/952] epg.telemach.ba (hr) - 504 - Apr 25, 2026 (25 programs)
ℹ   [89/952] epg.telemach.ba (hr) - 541 - Apr 24, 2026 (17 programs)
ℹ   [90/952] epg.telemach.ba (hr) - 541 - Apr 25, 2026 (12 programs)
ℹ   [91/952] epg.telemach.ba (hr) - 557 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [92/952] epg.telemach.ba (hr) - 552 - Apr 25, 2026 (45 programs)
ℹ   [93/952] epg.telemach.ba (hr) - 552 - Apr 24, 2026 (51 programs)
ℹ   [94/952] epg.telemach.ba (hr) - 557 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [95/952] epg.telemach.ba (hr) - 587 - Apr 24, 2026 (31 programs)
ℹ   [96/952] epg.telemach.ba (hr) - 587 - Apr 25, 2026 (14 programs)
ℹ   [97/952] epg.telemach.ba (hr) - 640 - Apr 24, 2026 (34 programs)
ℹ   [98/952] epg.telemach.ba (hr) - 574 - Apr 25, 2026 (64 programs)
ℹ   [99/952] epg.telemach.ba (hr) - 574 - Apr 24, 2026 (65 programs)
ℹ   [100/952] epg.telemach.ba (hr) - 640 - Apr 25, 2026 (34 programs)
ℹ   [101/952] epg.telemach.ba (hr) - 651 - Apr 24, 2026 (14 programs)
ℹ   [102/952] epg.telemach.ba (hr) - 651 - Apr 25, 2026 (13 programs)
ℹ   [103/952] epg.telemach.ba (hr) - 653 - Apr 24, 2026 (30 programs)
ℹ   [104/952] epg.telemach.ba (hr) - 653 - Apr 25, 2026 (27 programs)
ℹ   [105/952] epg.telemach.ba (hr) - 654 - Apr 24, 2026 (8 programs)
ℹ   [106/952] epg.telemach.ba (hr) - 654 - Apr 25, 2026 (8 programs)
ℹ   [107/952] epg.telemach.ba (hr) - 655 - Apr 24, 2026 (52 programs)
ℹ   [108/952] epg.telemach.ba (hr) - 656 - Apr 24, 2026 (25 programs)
ℹ   [109/952] epg.telemach.ba (hr) - 656 - Apr 25, 2026 (21 programs)
ℹ   [110/952] epg.telemach.ba (hr) - 655 - Apr 25, 2026 (54 programs)
ℹ   [111/952] epg.telemach.ba (hr) - 675 - Apr 24, 2026 (13 programs)
ℹ   [112/952] epg.telemach.ba (hr) - 675 - Apr 25, 2026 (18 programs)
ℹ   [113/952] epg.telemach.ba (hr) - 687 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [114/952] epg.telemach.ba (hr) - 687 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 400
ℹ   [115/952] epg.telemach.ba (hr) - 745 - Apr 25, 2026 (36 programs)
ℹ   [116/952] epg.telemach.ba (hr) - 745 - Apr 24, 2026 (35 programs)
ℹ   [117/952] epg.telemach.ba (hr) - 746 - Apr 24, 2026 (24 programs)
ℹ   [118/952] epg.telemach.ba (hr) - 746 - Apr 25, 2026 (25 programs)
ℹ   [119/952] epg.telemach.ba (hr) - 747 - Apr 24, 2026 (28 programs)
ℹ   [120/952] epg.telemach.ba (hr) - 747 - Apr 25, 2026 (25 programs)
ℹ   [121/952] epg.telemach.ba (hr) - 748 - Apr 24, 2026 (34 programs)
ℹ   [122/952] epg.telemach.ba (hr) - 777 - Apr 24, 2026 (12 programs)
ℹ   [123/952] epg.telemach.ba (hr) - 748 - Apr 25, 2026 (27 programs)
ℹ   [124/952] epg.telemach.ba (hr) - 777 - Apr 25, 2026 (12 programs)
ℹ   [125/952] epg.telemach.ba (hr) - 850 - Apr 24, 2026 (38 programs)
ℹ   [126/952] epg.telemach.ba (hr) - 850 - Apr 25, 2026 (38 programs)
ℹ   [127/952] epg.telemach.ba (hr) - 853 - Apr 25, 2026 (48 programs)
ℹ   [128/952] epg.telemach.ba (hr) - 853 - Apr 24, 2026 (57 programs)
ℹ   [129/952] epg.telemach.ba (hr) - 870 - Apr 24, 2026 (73 programs)
ℹ   [130/952] epg.telemach.ba (hr) - 870 - Apr 25, 2026 (70 programs)
ℹ   [131/952] epg.telemach.ba (hr) - 922 - Apr 24, 2026 (92 programs)
ℹ   [132/952] epg.telemach.ba (hr) - 921 - Apr 25, 2026 (105 programs)
ℹ   [133/952] epg.telemach.ba (hr) - 921 - Apr 24, 2026 (114 programs)
ℹ   [134/952] epg.telemach.ba (hr) - 922 - Apr 25, 2026 (86 programs)
ℹ   [135/952] epg.telemach.ba (hr) - 990 - Apr 24, 2026 (23 programs)
ℹ   [136/952] epg.telemach.ba (hr) - 990 - Apr 25, 2026 (26 programs)
ℹ   [137/952] epg.telemach.ba (hr) - 1096 - Apr 24, 2026 (19 programs)
ℹ   [138/952] epg.telemach.ba (hr) - 1096 - Apr 25, 2026 (19 programs)
ℹ   [139/952] epg.telemach.ba (hr) - 1097 - Apr 24, 2026 (26 programs)
ℹ   [140/952] epg.telemach.ba (hr) - 1097 - Apr 25, 2026 (16 programs)
ℹ   [141/952] epg.telemach.ba (hr) - 1102 - Apr 24, 2026 (26 programs)
