═══════════════════════════════════════════════════════════════
  Site            : guida.tv
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 34s
  Channels        : 176
  With programmes : 158
  Empty channels  : 18
  Total programs  : 5804
  Output size     : 1249849 bytes
  HTTP errors     :
    16 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 11:03:51
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:03:16 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=guida.tv --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 88 channel(s)
ℹ loading api data...
ℹ   [60/176] guida.tv (it) - DonnaTV.it@SD - Apr 25, 2026 (23 programs)
ℹ   [61/176] guida.tv (it) - FoodNetwork.it@SD - Apr 24, 2026 (34 programs)
ℹ   [62/176] guida.tv (it) - FoodNetwork.it@SD - Apr 25, 2026 (39 programs)
ℹ   [63/176] guida.tv (it) - Focus.it@SD - Apr 25, 2026 (27 programs)
ℹ   [64/176] guida.tv (it) - Focus.it@SD - Apr 24, 2026 (29 programs)
ℹ   [65/176] guida.tv (it) - GamberoRossoChannel.it@HD - Apr 24, 2026 (49 programs)
ℹ   [66/176] guida.tv (it) - Giallo.it@SD - Apr 24, 2026 (19 programs)
ℹ   [67/176] guida.tv (it) - GamberoRossoChannel.it@HD - Apr 25, 2026 (47 programs)
ℹ   [68/176] guida.tv (it) - Giallo.it@SD - Apr 25, 2026 (19 programs)
ℹ   [69/176] guida.tv (it) - HGTV.it@SD - Apr 24, 2026 (36 programs)
ℹ   [70/176] guida.tv (it) - History.it@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [71/176] guida.tv (it) - History.it@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [72/176] guida.tv (it) - HGTV.it@SD - Apr 25, 2026 (27 programs)
ℹ   [73/176] guida.tv (it) - MTVMusic.it@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [74/176] guida.tv (it) - MTVMusic.it@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [75/176] guida.tv (it) - InterTV.it@SD - Apr 24, 2026 (32 programs)
ℹ   [76/176] guida.tv (it) - Frisbee.it@SD - Apr 25, 2026 (63 programs)
ℹ   [77/176] guida.tv (it) - Frisbee.it@SD - Apr 24, 2026 (83 programs)
ℹ   [78/176] guida.tv (it) - Iris.it@SD - Apr 24, 2026 (13 programs)
ℹ   [79/176] guida.tv (it) - Iris.it@SD - Apr 25, 2026 (10 programs)
ℹ   [80/176] guida.tv (it) - InterTV.it@SD - Apr 25, 2026 (56 programs)
ℹ   [81/176] guida.tv (it) - Super.it@SD - Apr 24, 2026 (67 programs)
ℹ   [82/176] guida.tv (it) - TV2000.it@SD - Apr 24, 2026 (31 programs)
ℹ   [83/176] guida.tv (it) - Super.it@SD - Apr 25, 2026 (70 programs)
ℹ   [84/176] guida.tv (it) - TV2000.it@SD - Apr 25, 2026 (27 programs)
ℹ   [85/176] guida.tv (it) - ComedyCentral.it@SD - Apr 24, 2026 (0 programs)
ℹ   [86/176] guida.tv (it) - ComedyCentral.it@SD - Apr 25, 2026 (0 programs)
ℹ   [87/176] guida.tv (it) - CartoonNetwork.it@SD - Apr 24, 2026 (110 programs)
ℹ   [88/176] guida.tv (it) - Nickelodeon.it@SD - Apr 24, 2026 (73 programs)
ℹ   [89/176] guida.tv (it) - CartoonNetwork.it@SD - Apr 25, 2026 (104 programs)
ℹ   [90/176] guida.tv (it) - NickJr.it@SD - Apr 24, 2026 (75 programs)
ℹ   [91/176] guida.tv (it) - Nickelodeon.it@SD - Apr 25, 2026 (75 programs)
ℹ   [92/176] guida.tv (it) - NickJr.it@SD - Apr 25, 2026 (76 programs)
ℹ   [93/176] guida.tv (it) - K2.it@SD - Apr 24, 2026 (77 programs)
ℹ   [94/176] guida.tv (it) - La5.it@SD - Apr 24, 2026 (26 programs)
