═══════════════════════════════════════════════════════════════
  Site            : tv.boxbg.net
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 20s
  Channels        : 166
  With programmes : 136
  Empty channels  : 30
  Total programs  : 3262
  Output size     : 948365 bytes
  Generated       : 2026-04-24 12:32:39
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:32:18 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv.boxbg.net --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 83 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [56/166] tv.boxbg.net (bg) - Eurosport 2/79 - Apr 24, 2026 (17 programs)
ℹ   [57/166] tv.boxbg.net (bg) - Eurosport 2/79 - Apr 25, 2026 (4 programs)
ℹ   [58/166] tv.boxbg.net (bg) - Epic Drama/148 - Apr 24, 2026 (18 programs)
ℹ   [59/166] tv.boxbg.net (bg) - Eurosport/78 - Apr 24, 2026 (15 programs)
ℹ   [60/166] tv.boxbg.net (bg) - Eurosport/78 - Apr 25, 2026 (4 programs)
ℹ   [61/166] tv.boxbg.net (bg) - Extreme Sports Channel/80 - Apr 24, 2026 (0 programs)
ℹ   [62/166] tv.boxbg.net (bg) - Extreme Sports Channel/80 - Apr 25, 2026 (0 programs)
ℹ   [63/166] tv.boxbg.net (bg) - FilmBox Extra HD/139 - Apr 24, 2026 (15 programs)
ℹ   [64/166] tv.boxbg.net (bg) - FilmBox Extra HD/139 - Apr 25, 2026 (2 programs)
ℹ   [65/166] tv.boxbg.net (bg) - FilmBox Stars/140 - Apr 24, 2026 (15 programs)
ℹ   [66/166] tv.boxbg.net (bg) - FilmBox Stars/140 - Apr 25, 2026 (4 programs)
ℹ   [67/166] tv.boxbg.net (bg) - FilmBox/142 - Apr 24, 2026 (15 programs)
ℹ   [68/166] tv.boxbg.net (bg) - FilmBox/142 - Apr 25, 2026 (4 programs)
ℹ   [69/166] tv.boxbg.net (bg) - Food Network HD/84 - Apr 24, 2026 (36 programs)
ℹ   [70/166] tv.boxbg.net (bg) - Food Network HD/84 - Apr 25, 2026 (11 programs)
ℹ   [71/166] tv.boxbg.net (bg) - HBO 3/141 - Apr 24, 2026 (20 programs)
ℹ   [72/166] tv.boxbg.net (bg) - HBO 3/141 - Apr 25, 2026 (19 programs)
ℹ   [73/166] tv.boxbg.net (bg) - HBO Comedy/88 - Apr 24, 2026 (17 programs)
ℹ   [74/166] tv.boxbg.net (bg) - HBO Comedy/88 - Apr 25, 2026 (15 programs)
ℹ   [75/166] tv.boxbg.net (bg) - HBO/87 - Apr 24, 2026 (14 programs)
ℹ   [76/166] tv.boxbg.net (bg) - HBO/87 - Apr 25, 2026 (13 programs)
ℹ   [77/166] tv.boxbg.net (bg) - HG TV/160 - Apr 24, 2026 (35 programs)
ℹ   [78/166] tv.boxbg.net (bg) - HG TV/160 - Apr 25, 2026 (33 programs)
ℹ   [79/166] tv.boxbg.net (bg) - History/89 - Apr 24, 2026 (34 programs)
ℹ   [80/166] tv.boxbg.net (bg) - History/89 - Apr 25, 2026 (11 programs)
ℹ   [81/166] tv.boxbg.net (bg) - Investigation Discovery/134 - Apr 24, 2026 (25 programs)
ℹ   [82/166] tv.boxbg.net (bg) - Investigation Discovery/134 - Apr 25, 2026 (7 programs)
ℹ   [83/166] tv.boxbg.net (bg) - JimJam/91 - Apr 24, 2026 (0 programs)
ℹ   [84/166] tv.boxbg.net (bg) - JimJam/91 - Apr 25, 2026 (0 programs)
ℹ   [85/166] tv.boxbg.net (bg) - KinoNova/31 - Apr 25, 2026 (13 programs)
ℹ   [86/166] tv.boxbg.net (bg) - KinoNova/31 - Apr 24, 2026 (12 programs)
ℹ   [87/166] tv.boxbg.net (bg) - MAX Sport 1/145 - Apr 24, 2026 (14 programs)
ℹ   [88/166] tv.boxbg.net (bg) - MAX Sport 1/145 - Apr 25, 2026 (14 programs)
ℹ   [89/166] tv.boxbg.net (bg) - MAX Sport 2/146 - Apr 24, 2026 (17 programs)
ℹ   [90/166] tv.boxbg.net (bg) - MAX Sport 2/146 - Apr 25, 2026 (16 programs)
ℹ   [91/166] tv.boxbg.net (bg) - MAX Sport 3/150 - Apr 24, 2026 (16 programs)
ℹ   [92/166] tv.boxbg.net (bg) - MAX Sport 3/150 - Apr 25, 2026 (20 programs)
ℹ   [93/166] tv.boxbg.net (bg) - MAX Sport 4/151 - Apr 24, 2026 (16 programs)
ℹ   [94/166] tv.boxbg.net (bg) - MAX Sport 4/151 - Apr 25, 2026 (17 programs)
ℹ   [95/166] tv.boxbg.net (bg) - MovieSTAR/149 - Apr 24, 2026 (14 programs)
ℹ   [96/166] tv.boxbg.net (bg) - MovieSTAR/149 - Apr 25, 2026 (0 programs)
