═══════════════════════════════════════════════════════════════
  Site            : melita.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 29s
  Channels        : 254
  With programmes : 204
  Empty channels  : 50
  Total programs  : 6887
  Output size     : 3546428 bytes
  HTTP errors     :
    18 status code 410
  Last error      : Request failed with status code 410
  Generated       : 2026-04-24 11:12:20
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:11:51 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=melita.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 127 channel(s)
ℹ loading api data...
ℹ   [55/254] melita.com (it) - Boing.it@SD - Apr 25, 2026 (10 programs)
ℹ   [56/254] melita.com (it) - Boing.it@SD - Apr 24, 2026 (14 programs)
ℹ   [57/254] melita.com (en) - 9dc21911-0f5d-44e5-a255-fb23ce981a2d - Apr 24, 2026 (9 programs)
ℹ   [58/254] melita.com (en) - 9dc21911-0f5d-44e5-a255-fb23ce981a2d - Apr 25, 2026 (9 programs)
ℹ   [59/254] melita.com (en) - TravelChannelEMEA.uk@SD - Apr 24, 2026 (25 programs)
ℹ   [60/254] melita.com (en) - TravelChannelEMEA.uk@SD - Apr 25, 2026 (25 programs)
ℹ   [61/254] melita.com (de) - RTL.de@SD - Apr 24, 2026 (31 programs)
ℹ   [62/254] melita.com (de) - RTL.de@SD - Apr 25, 2026 (24 programs)
ℹ   [63/254] melita.com (it) - Cielo.it@SD - Apr 24, 2026 (22 programs)
ℹ   [64/254] melita.com (it) - Cielo.it@SD - Apr 25, 2026 (21 programs)
ℹ   [65/254] melita.com (en) - 56d21f94-eff5-4ce5-be8b-dc7717d0c8c9 - Apr 24, 2026 (0 programs)
ℹ   [66/254] melita.com (en) - 56d21f94-eff5-4ce5-be8b-dc7717d0c8c9 - Apr 25, 2026 (0 programs)
ℹ   [67/254] melita.com (en) - NickJr.gr@SD - Apr 24, 2026 (90 programs)
ℹ   [68/254] melita.com (en) - NickJr.gr@SD - Apr 25, 2026 (84 programs)
ℹ   [69/254] melita.com (en) - NationalGeographicWild.mt@SD - Apr 24, 2026 (29 programs)
ℹ   [70/254] melita.com (en) - ClubMTVEurope.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 410
ℹ   [71/254] melita.com (en) - NationalGeographicWild.mt@SD - Apr 25, 2026 (33 programs)
ℹ   [72/254] melita.com (en) - ClubMTVEurope.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 410
ℹ   [73/254] melita.com (tr) - TRTTurk.tr@SD - Apr 24, 2026 (45 programs)
ℹ   [74/254] melita.com (en) - TSN4.mt@SD - Apr 24, 2026 (17 programs)
ℹ   [75/254] melita.com (tr) - TRTTurk.tr@SD - Apr 25, 2026 (27 programs)
ℹ   [76/254] melita.com (en) - TSN4.mt@SD - Apr 25, 2026 (14 programs)
ℹ   [77/254] melita.com (en) - ITVShopping.mt@SD - Apr 24, 2026 (0 programs)
ℹ   [78/254] melita.com (en) - ITVShopping.mt@SD - Apr 25, 2026 (0 programs)
ℹ   [79/254] melita.com (en) - AnimalPlanetEurope.uk@SD - Apr 24, 2026 (28 programs)
ℹ   [80/254] melita.com (en) - AnimalPlanetEurope.uk@SD - Apr 25, 2026 (31 programs)
ℹ   [81/254] melita.com (it) - CanaleItalia.it@SD - Apr 24, 2026 (1 programs)
ℹ   [82/254] melita.com (it) - CanaleItalia.it@SD - Apr 25, 2026 (2 programs)
ℹ   [83/254] melita.com (en) - FLivingChannel.mt@SD - Apr 24, 2026 (8 programs)
ℹ   [84/254] melita.com (en) - FLivingChannel.mt@SD - Apr 25, 2026 (6 programs)
ℹ   [85/254] melita.com (en) - InvestigationDiscoveryEurope.us@SD - Apr 24, 2026 (27 programs)
ℹ   [86/254] melita.com (en) - InvestigationDiscoveryEurope.us@SD - Apr 25, 2026 (25 programs)
ℹ   [87/254] melita.com (it) - RTL1025TV.it@SD - Apr 24, 2026 (0 programs)
ℹ   [88/254] melita.com (it) - RTL1025TV.it@SD - Apr 25, 2026 (0 programs)
ℹ   [89/254] melita.com (en) - DisneyChannelEMEA.uk@SD - Apr 24, 2026 (63 programs)
ℹ   [90/254] melita.com (en) - DisneyChannelEMEA.uk@SD - Apr 25, 2026 (63 programs)
ℹ   [91/254] melita.com (en) - CNBCEurope.uk@SD - Apr 24, 2026 (41 programs)
ℹ   [92/254] melita.com (en) - TSN5.mt@SD - Apr 24, 2026 (18 programs)
ℹ   [93/254] melita.com (en) - CNBCEurope.uk@SD - Apr 25, 2026 (36 programs)
ℹ   [94/254] melita.com (en) - TSN5.mt@SD - Apr 25, 2026 (14 programs)
ℹ   [95/254] melita.com (en) - FoxLife.gr@HD - Apr 24, 2026 (36 programs)
ℹ   [96/254] melita.com (en) - FoxLife.gr@HD - Apr 25, 2026 (35 programs)
ℹ   [97/254] melita.com (en) - AlJazeera.qa@Arabic - Apr 24, 2026 (29 programs)
ℹ   [98/254] melita.com (en) - AlJazeera.qa@Arabic - Apr 25, 2026 (31 programs)
ℹ   [99/254] melita.com (en) - SkyNews.uk@SD - Apr 24, 2026 (18 programs)
ℹ   [100/254] melita.com (en) - SkyNews.uk@SD - Apr 25, 2026 (17 programs)
ℹ   [101/254] melita.com (en) - 872ef382-b60d-451b-95e4-00e4dc7fa1c6 - Apr 24, 2026 (0 programs)
ℹ   [102/254] melita.com (en) - 872ef382-b60d-451b-95e4-00e4dc7fa1c6 - Apr 25, 2026 (0 programs)
ℹ   [103/254] melita.com (en) - GINXTV.uk@SD - Apr 24, 2026 (33 programs)
ℹ   [104/254] melita.com (en) - GINXTV.uk@SD - Apr 25, 2026 (33 programs)
ℹ   [105/254] melita.com (en) - 1976b1f7-7b15-4e51-abd2-f936c1b494b8 - Apr 24, 2026 (0 programs)
ℹ   [106/254] melita.com (en) - 1976b1f7-7b15-4e51-abd2-f936c1b494b8 - Apr 25, 2026 (0 programs)
ℹ   [107/254] melita.com (fr) - TV5MondeEurope.fr@SD - Apr 24, 2026 (60 programs)
ℹ   [108/254] melita.com (fr) - TV5MondeEurope.fr@SD - Apr 25, 2026 (55 programs)
ℹ   [109/254] melita.com (en) - LuxeTV.lu@SD - Apr 24, 2026 (25 programs)
ℹ   [110/254] melita.com (en) - LuxeTV.lu@SD - Apr 25, 2026 (25 programs)
ℹ   [111/254] melita.com (fr) - Mezzo.fr@SD - Apr 24, 2026 (1 programs)
ℹ   [112/254] melita.com (fr) - Mezzo.fr@SD - Apr 25, 2026 (1 programs)
ℹ   [113/254] melita.com (en) - TSN6.mt@SD - Apr 24, 2026 (8 programs)
ℹ   [114/254] melita.com (en) - TSN6.mt@SD - Apr 25, 2026 (7 programs)
ℹ   [115/254] melita.com (en) - AlJazeera.qa@English - Apr 24, 2026 (24 programs)
ℹ   [116/254] melita.com (en) - AlJazeera.qa@English - Apr 25, 2026 (24 programs)
ℹ   [117/254] melita.com (en) - MTVHitsEurope.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 410
ℹ   [118/254] melita.com (en) - MTVHitsEurope.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 410
ℹ   [119/254] melita.com (en) - TraceUrban.fr@SD - Apr 24, 2026 (0 programs)
ℹ   [120/254] melita.com (en) - TraceUrban.fr@SD - Apr 25, 2026 (0 programs)
ℹ   [121/254] melita.com (en) - 13753d1a-e123-41f8-8144-748737450630 - Apr 24, 2026 (34 programs)
ℹ   [122/254] melita.com (en) - 13753d1a-e123-41f8-8144-748737450630 - Apr 25, 2026 (23 programs)
ℹ   [123/254] melita.com (en) - GODTV.uk@SD - Apr 24, 2026 (40 programs)
ℹ   [124/254] melita.com (en) - DiscoveryChannel.it@SD - Apr 24, 2026 (30 programs)
ℹ   [125/254] melita.com (en) - GODTV.uk@SD - Apr 25, 2026 (29 programs)
ℹ   [126/254] melita.com (en) - DiscoveryChannel.it@SD - Apr 25, 2026 (27 programs)
ℹ   [127/254] melita.com (en) - BBCEntertainment.uk@SD - Apr 24, 2026 (25 programs)
ℹ   [128/254] melita.com (en) - BBCEntertainment.uk@SD - Apr 25, 2026 (25 programs)
ℹ   [129/254] melita.com (it) - ClassTVModa.it@SD - Apr 24, 2026 (1 programs)
ℹ   [130/254] melita.com (en) - EEurope.nl@SD - Apr 25, 2026 (27 programs)
ℹ   [131/254] melita.com (en) - EEurope.nl@SD - Apr 24, 2026 (27 programs)
ℹ   [132/254] melita.com (it) - ClassTVModa.it@SD - Apr 25, 2026 (3 programs)
ℹ   [133/254] melita.com (it) - RaiStoria.it@SD - Apr 24, 2026 (29 programs)
ℹ   [134/254] melita.com (it) - RaiStoria.it@SD - Apr 25, 2026 (27 programs)
ℹ   [135/254] melita.com (it) - MediasetItalia.it@SD - Apr 24, 2026 (17 programs)
ℹ   [136/254] melita.com (it) - MediasetItalia.it@SD - Apr 25, 2026 (31 programs)
ℹ   [137/254] melita.com (tr) - TRTWorld.tr@SD - Apr 24, 2026 (22 programs)
ℹ   [138/254] melita.com (tr) - TRTWorld.tr@SD - Apr 25, 2026 (26 programs)
ℹ   [139/254] melita.com (en) - BloombergTV.us@Europe - Apr 25, 2026 (22 programs)
ℹ   [140/254] melita.com (en) - BloombergTV.us@Europe - Apr 24, 2026 (18 programs)
ℹ   [141/254] melita.com (it) - RaiScuola.it@SD - Apr 24, 2026 (29 programs)
ℹ   [142/254] melita.com (it) - RaiScuola.it@SD - Apr 25, 2026 (31 programs)
ℹ   [143/254] melita.com (en) - History.it@SD - Apr 24, 2026 (34 programs)
ℹ   [144/254] melita.com (en) - History.it@SD - Apr 25, 2026 (31 programs)
ℹ   [145/254] melita.com (it) - Rete4.it@SD - Apr 24, 2026 (25 programs)
ℹ   [146/254] melita.com (it) - Rete4.it@SD - Apr 25, 2026 (24 programs)
ℹ   [147/254] melita.com (en) - France24.fr@English - Apr 24, 2026 (99 programs)
ℹ   [148/254] melita.com (en) - France24.fr@English - Apr 25, 2026 (114 programs)
ℹ   [149/254] melita.com (en) - MelitaMore.mt@SD - Apr 24, 2026 (16 programs)
ℹ   [150/254] melita.com (en) - MelitaMore.mt@SD - Apr 25, 2026 (14 programs)
ℹ   [151/254] melita.com (en) - CNNInternational.us@MENA - Apr 24, 2026 (31 programs)
ℹ   [152/254] melita.com (en) - CNNInternational.us@MENA - Apr 25, 2026 (34 programs)
ℹ   [153/254] melita.com (en) - TSN7.mt@SD - Apr 24, 2026 (23 programs)
ℹ   [154/254] melita.com (en) - TSN7.mt@SD - Apr 25, 2026 (19 programs)
ℹ   [155/254] melita.com (en) - SmashTV.mt@SD - Apr 24, 2026 (6 programs)
ℹ   [156/254] melita.com (en) - SmashTV.mt@SD - Apr 25, 2026 (7 programs)
ℹ   [157/254] melita.com (en) - StingrayCMusic.ca@SD - Apr 24, 2026 (2 programs)
ℹ   [158/254] melita.com (en) - StingrayCMusic.ca@SD - Apr 25, 2026 (2 programs)
ℹ   [159/254] melita.com (en) - TSN3.mt@SD - Apr 24, 2026 (15 programs)
ℹ   [160/254] melita.com (en) - TSN3.mt@SD - Apr 25, 2026 (15 programs)
ℹ   [161/254] melita.com (it) - Iris.it@SD - Apr 24, 2026 (3 programs)
ℹ   [162/254] melita.com (it) - Iris.it@SD - Apr 25, 2026 (3 programs)
ℹ   [163/254] melita.com (en) - TLCLatinAmerica.us@Panregional - Apr 24, 2026 (33 programs)
ℹ   [164/254] melita.com (en) - TLCLatinAmerica.us@Panregional - Apr 25, 2026 (34 programs)
ℹ   [165/254] melita.com (fr) - France2.fr@SD - Apr 24, 2026 (33 programs)
ℹ   [166/254] melita.com (fr) - France2.fr@SD - Apr 25, 2026 (35 programs)
ℹ   [167/254] melita.com (en) - CGTN.cn@SD - Apr 24, 2026 (0 programs)
ℹ   [168/254] melita.com (en) - CGTN.cn@SD - Apr 25, 2026 (1 programs)
ℹ   [169/254] melita.com (en) - EuronewsEnglish.fr@SD - Apr 24, 2026 (11 programs)
ℹ   [170/254] melita.com (en) - EuronewsEnglish.fr@SD - Apr 25, 2026 (0 programs)
ℹ   [171/254] melita.com (nl) - BVN.nl@SD - Apr 24, 2026 (66 programs)
ℹ   [172/254] melita.com (nl) - BVN.nl@SD - Apr 25, 2026 (53 programs)
ℹ   [173/254] melita.com (en) - One.mt@SD - Apr 24, 2026 (47 programs)
ℹ   [174/254] melita.com (en) - One.mt@SD - Apr 25, 2026 (43 programs)
ℹ   [175/254] melita.com (en) - ducktv.sk@SD - Apr 24, 2026 (0 programs)
ℹ   [176/254] melita.com (en) - ducktv.sk@SD - Apr 25, 2026 (0 programs)
ℹ   [177/254] melita.com (en) - NationalGeographic.mt@SD - Apr 24, 2026 (32 programs)
ℹ   [178/254] melita.com (en) - NationalGeographic.mt@SD - Apr 25, 2026 (33 programs)
ℹ   [179/254] melita.com (en) - ExtremeSportsChannel.nl@SD - Apr 24, 2026 (20 programs)
ℹ   [180/254] melita.com (en) - ExtremeSportsChannel.nl@SD - Apr 25, 2026 (19 programs)
ℹ   [181/254] melita.com (en) - DisneyJunior.gr@SD - Apr 24, 2026 (90 programs)
ℹ   [182/254] melita.com (en) - DisneyJunior.gr@SD - Apr 25, 2026 (89 programs)
ℹ   [183/254] melita.com (en) - DubaiOne.ae@SD - Apr 24, 2026 (1 programs)
ℹ   [184/254] melita.com (en) - DubaiOne.ae@SD - Apr 25, 2026 (1 programs)
ℹ   [185/254] melita.com (en) - MTV90s.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 410
ℹ   [186/254] melita.com (en) - MTV90s.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 410
ℹ   [187/254] melita.com (en) - FashionTVEurope.fr@SD - Apr 24, 2026 (0 programs)
ℹ   [188/254] melita.com (en) - FashionTVEurope.fr@SD - Apr 25, 2026 (0 programs)
ℹ   [189/254] melita.com (mt) - TVMnewsPlus.mt@SD - Apr 25, 2026 (38 programs)
ℹ   [190/254] melita.com (mt) - TVMnewsPlus.mt@SD - Apr 24, 2026 (46 programs)
ℹ   [191/254] melita.com (en) - MTV80s.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 410
ℹ   [192/254] melita.com (en) - MTV80s.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 410
ℹ   [193/254] melita.com (it) - La5.it@SD - Apr 24, 2026 (29 programs)
ℹ   [194/254] melita.com (it) - La5.it@SD - Apr 25, 2026 (21 programs)
ℹ   [195/254] melita.com (en) - TSN2.mt@SD - Apr 24, 2026 (36 programs)
ℹ   [196/254] melita.com (en) - TSN2.mt@SD - Apr 25, 2026 (36 programs)
ℹ   [197/254] melita.com (fr) - France24.fr@French - Apr 24, 2026 (24 programs)
ℹ   [198/254] melita.com (fr) - France24.fr@French - Apr 25, 2026 (29 programs)
ℹ   [199/254] melita.com (en) - c9e7448b-838c-4fb8-ae0e-a745b87634fd - Apr 24, 2026 (0 programs)
ℹ   [200/254] melita.com (en) - c9e7448b-838c-4fb8-ae0e-a745b87634fd - Apr 25, 2026 (0 programs)
ℹ   [201/254] melita.com (en) - c9ef9d6b-c41b-4855-9c1f-26dd052c8673 - Apr 24, 2026 (30 programs)
ℹ   [202/254] melita.com (en) - c9ef9d6b-c41b-4855-9c1f-26dd052c8673 - Apr 25, 2026 (30 programs)
ℹ   [203/254] melita.com (en) - DaystarTV.us@SD - Apr 24, 2026 (3 programs)
ℹ   [204/254] melita.com (en) - DaystarTV.us@SD - Apr 25, 2026 (12 programs)
ℹ   [205/254] melita.com (en) - c199e302-4b17-4355-b433-88e5fb930b4a - Apr 24, 2026 (54 programs)
ℹ   [206/254] melita.com (en) - c199e302-4b17-4355-b433-88e5fb930b4a - Apr 25, 2026 (54 programs)
ℹ   [207/254] melita.com (it) - Italia2.it@SD - Apr 24, 2026 (49 programs)
ℹ   [208/254] melita.com (it) - Italia2.it@SD - Apr 25, 2026 (48 programs)
ℹ   [209/254] melita.com (it) - RaiNews24.it@SD - Apr 24, 2026 (25 programs)
ℹ   [210/254] melita.com (it) - RaiNews24.it@SD - Apr 25, 2026 (24 programs)
ℹ   [211/254] melita.com (en) - TSN1.mt@SD - Apr 24, 2026 (26 programs)
ℹ   [212/254] melita.com (en) - TSN1.mt@SD - Apr 25, 2026 (30 programs)
ℹ   [213/254] melita.com (en) - Fox.gr@HD - Apr 24, 2026 (42 programs)
