═══════════════════════════════════════════════════════════════
  Site            : dsmart.com.tr
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 27s
  Channels        : 200
  With programmes : 169
  Empty channels  : 31
  Total programs  : 5149
  Output size     : 1583812 bytes
  Generated       : 2026-04-24 10:50:35
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:50:08 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=dsmart.com.tr --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 100 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [53/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c6062b4 - Apr 24, 2026 (32 programs)
ℹ   [54/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c6062b4 - Apr 25, 2026 (36 programs)
ℹ   [55/200] dsmart.com.tr (tr) - DaVinci.de@SD - Apr 24, 2026 (104 programs)
ℹ   [56/200] dsmart.com.tr (tr) - DaVinci.de@SD - Apr 25, 2026 (107 programs)
ℹ   [57/200] dsmart.com.tr (tr) - BabyTV.uk@France - Apr 24, 2026 (48 programs)
ℹ   [58/200] dsmart.com.tr (tr) - BabyTV.uk@France - Apr 25, 2026 (48 programs)
ℹ   [59/200] dsmart.com.tr (tr) - CNNInternational.us@MENA - Apr 24, 2026 (29 programs)
ℹ   [60/200] dsmart.com.tr (tr) - CNNInternational.us@MENA - Apr 25, 2026 (0 programs)
ℹ   [61/200] dsmart.com.tr (tr) - Cartoonito.uk@SD - Apr 24, 2026 (124 programs)
ℹ   [62/200] dsmart.com.tr (tr) - Cartoonito.uk@SD - Apr 25, 2026 (126 programs)
ℹ   [63/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c6062ba - Apr 24, 2026 (14 programs)
ℹ   [64/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c6062ba - Apr 25, 2026 (14 programs)
ℹ   [65/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c6062bc - Apr 24, 2026 (24 programs)
ℹ   [66/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c6062bc - Apr 25, 2026 (26 programs)
ℹ   [67/200] dsmart.com.tr (tr) - ViasatHistory.tr@SD - Apr 24, 2026 (29 programs)
ℹ   [68/200] dsmart.com.tr (tr) - ViasatHistory.tr@SD - Apr 25, 2026 (29 programs)
ℹ   [69/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c6062bf - Apr 24, 2026 (140 programs)
ℹ   [70/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c6062bf - Apr 25, 2026 (140 programs)
ℹ   [71/200] dsmart.com.tr (tr) - DreamTurk.tr@SD - Apr 24, 2026 (6 programs)
ℹ   [72/200] dsmart.com.tr (tr) - DreamTurk.tr@SD - Apr 25, 2026 (6 programs)
ℹ   [73/200] dsmart.com.tr (tr) - BBCNews.uk@Europe - Apr 24, 2026 (52 programs)
ℹ   [74/200] dsmart.com.tr (tr) - BBCNews.uk@Europe - Apr 25, 2026 (45 programs)
ℹ   [75/200] dsmart.com.tr (tr) - CartoonNetwork.tr@SD - Apr 24, 2026 (128 programs)
ℹ   [76/200] dsmart.com.tr (tr) - CartoonNetwork.tr@SD - Apr 25, 2026 (102 programs)
ℹ   [77/200] dsmart.com.tr (tr) - TV85.tr@SD - Apr 24, 2026 (12 programs)
ℹ   [78/200] dsmart.com.tr (tr) - TV85.tr@SD - Apr 25, 2026 (4 programs)
ℹ   [79/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c6062cc - Apr 24, 2026 (45 programs)
ℹ   [80/200] dsmart.com.tr (tr) - 58d29bb0eefad3db9c6062cc - Apr 25, 2026 (0 programs)
