═══════════════════════════════════════════════════════════════
  Site            : osn.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 38s
  Channels        : 268
  With programmes : 267
  Empty channels  : 1
  Total programs  : 10059
  Output size     : 1720249 bytes
  Other errors    :
    1 Unexpected end of JSON input
  Last error      : Unexpected end of JSON input
  Generated       : 2026-04-24 11:35:42
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:35:04 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=osn.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 134 channel(s)
ℹ loading api data...
ℹ   [66/268] osn.com (ar) - Cinema2.ae@SD - Apr 24, 2026 (13 programs)
ℹ   [67/268] osn.com (ar) - Cinema2.ae@SD - Apr 25, 2026 (14 programs)
ℹ   [68/268] osn.com (ar) - CinemaOneGlobal.ph@SD - Apr 24, 2026 (13 programs)
ℹ   [69/268] osn.com (ar) - CinemaOneGlobal.ph@SD - Apr 25, 2026 (13 programs)
ℹ   [70/268] osn.com (ar) - CineMo.ph@SD - Apr 24, 2026 (13 programs)
ℹ   [71/268] osn.com (ar) - CartoonNetworkArabic.ae@SD - Apr 25, 2026 (123 programs)
ℹ   [72/268] osn.com (ar) - CineMo.ph@SD - Apr 25, 2026 (13 programs)
ℹ   [73/268] osn.com (ar) - CNNArabic.ae@SD - Apr 24, 2026 (26 programs)
ℹ   [74/268] osn.com (ar) - CrimePlusInvestigation.uk@SD - Apr 24, 2026 (33 programs)
ℹ   [75/268] osn.com (ar) - CrimePlusInvestigation.uk@SD - Apr 25, 2026 (33 programs)
ℹ   [76/268] osn.com (ar) - DiscoveryChannelMiddleEastAfrica.us@SD - Apr 24, 2026 (31 programs)
ℹ   [77/268] osn.com (ar) - DiscoveryChannelMiddleEastAfrica.us@SD - Apr 25, 2026 (31 programs)
ℹ   [78/268] osn.com (ar) - Fann.ae@SD - Apr 24, 2026 (153 programs)
ℹ   [79/268] osn.com (ar) - CNNArabic.ae@SD - Apr 25, 2026 (21 programs)
ℹ   [80/268] osn.com (ar) - Fann.ae@SD - Apr 25, 2026 (165 programs)
ℹ   [81/268] osn.com (ar) - Fatafeat.ae@SD - Apr 24, 2026 (28 programs)
ℹ   [82/268] osn.com (ar) - GMANewsTV.ph@SD - Apr 24, 2026 (28 programs)
ℹ   [83/268] osn.com (ar) - GMALifeTV.ph@SD - Apr 25, 2026 (25 programs)
ℹ   [84/268] osn.com (ar) - GMALifeTV.ph@SD - Apr 24, 2026 (28 programs)
ℹ   [85/268] osn.com (ar) - GMANewsTV.ph@SD - Apr 25, 2026 (29 programs)
ℹ   [86/268] osn.com (ar) - Fatafeat.ae@SD - Apr 25, 2026 (32 programs)
ℹ   [87/268] osn.com (ar) - GMAPinoyTVMiddleEast.ph@SD - Apr 25, 2026 (27 programs)
ℹ   [88/268] osn.com (ar) - History2MiddleEast.us@SD - Apr 24, 2026 (33 programs)
ℹ   [89/268] osn.com (ar) - GMAPinoyTVMiddleEast.ph@SD - Apr 24, 2026 (31 programs)
ℹ   [90/268] osn.com (ar) - InvestigationDiscoveryEurope.us@SD - Apr 24, 2026 (24 programs)
ℹ   [91/268] osn.com (ar) - InvestigationDiscoveryEurope.us@SD - Apr 25, 2026 (26 programs)
ℹ   [92/268] osn.com (ar) - HistoryMiddleEast.us@SD - Apr 25, 2026 (34 programs)
ℹ   [93/268] osn.com (ar) - HistoryMiddleEast.us@SD - Apr 24, 2026 (36 programs)
