═══════════════════════════════════════════════════════════════
  Site            : tvireland.ie
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 64s
  Channels        : 668
  With programmes : 562
  Empty channels  : 106
  Total programs  : 16887
  Output size     : 4082955 bytes
  HTTP errors     :
    106 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 12:46:44
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:45:40 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tvireland.ie --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 334 channel(s)
ℹ loading api data...
ℹ   [52/668] tvireland.ie (en) - DiscoveryTurbo.uk@SD - Apr 25, 2026 (29 programs)
ℹ   [53/668] tvireland.ie (en) - 154/alibi - Apr 25, 2026 (22 programs)
ℹ   [54/668] tvireland.ie (en) - 154/alibi - Apr 24, 2026 (23 programs)
ℹ   [55/668] tvireland.ie (en) - SkySciFi.uk@SD - Apr 24, 2026 (26 programs)
ℹ   [56/668] tvireland.ie (en) - SkySciFi.uk@SD - Apr 25, 2026 (25 programs)
ℹ   [57/668] tvireland.ie (en) - AnimalPlanet.uk@SD - Apr 24, 2026 (27 programs)
ℹ   [58/668] tvireland.ie (en) - AnimalPlanet.uk@SD - Apr 25, 2026 (28 programs)
ℹ   [59/668] tvireland.ie (en) - DiscoveryChannel.uk@UK - Apr 24, 2026 (27 programs)
ℹ   [60/668] tvireland.ie (en) - DiscoveryChannel.uk@UK - Apr 25, 2026 (24 programs)
ℹ   [61/668] tvireland.ie (en) - Challenge.uk@SD - Apr 24, 2026 (28 programs)
ℹ   [62/668] tvireland.ie (en) - Challenge.uk@SD - Apr 25, 2026 (31 programs)
ℹ   [63/668] tvireland.ie (en) - SkyHistory.uk@SD - Apr 24, 2026 (29 programs)
ℹ   [64/668] tvireland.ie (en) - SkyHistory.uk@SD - Apr 25, 2026 (25 programs)
ℹ   [65/668] tvireland.ie (en) - NationalGeographic.uk@SD - Apr 24, 2026 (30 programs)
ℹ   [66/668] tvireland.ie (en) - NationalGeographic.uk@SD - Apr 25, 2026 (30 programs)
ℹ   [67/668] tvireland.ie (en) - ComedyCentral.uk@SD - Apr 24, 2026 (43 programs)
ℹ   [68/668] tvireland.ie (en) - ComedyCentral.uk@SD - Apr 25, 2026 (39 programs)
ℹ   [69/668] tvireland.ie (en) - SonyEntertainmentTelevisionAsia.in@SD - Apr 24, 2026 (27 programs)
ℹ   [70/668] tvireland.ie (en) - SonyEntertainmentTelevisionAsia.in@SD - Apr 25, 2026 (22 programs)
ℹ   [71/668] tvireland.ie (en) - Nickelodeon.uk@SD - Apr 24, 2026 (49 programs)
ℹ   [72/668] tvireland.ie (en) - Nickelodeon.uk@SD - Apr 25, 2026 (52 programs)
ℹ   [73/668] tvireland.ie (en) - CNBCEurope.uk@SD - Apr 24, 2026 (43 programs)
ℹ   [74/668] tvireland.ie (en) - CNBCEurope.uk@SD - Apr 25, 2026 (37 programs)
ℹ   [75/668] tvireland.ie (en) - NickJr.uk@SD - Apr 24, 2026 (108 programs)
ℹ   [76/668] tvireland.ie (en) - NickJr.uk@SD - Apr 25, 2026 (115 programs)
ℹ   [77/668] tvireland.ie (en) - Boomerang.uk@SD - Apr 24, 2026 (34 programs)
ℹ   [78/668] tvireland.ie (en) - Boomerang.uk@SD - Apr 25, 2026 (34 programs)
ℹ   [79/668] tvireland.ie (en) - QVC.uk@SD - Apr 24, 2026 (23 programs)
ℹ   [80/668] tvireland.ie (en) - QVC.uk@SD - Apr 25, 2026 (24 programs)
ℹ   [81/668] tvireland.ie (en) - Film4.uk@SD - Apr 24, 2026 (8 programs)
ℹ   [82/668] tvireland.ie (en) - Film4.uk@SD - Apr 25, 2026 (9 programs)
ℹ   [83/668] tvireland.ie (en) - SkyShowcase.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [84/668] tvireland.ie (en) - SkyShowcase.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [85/668] tvireland.ie (en) - MUTV.uk@SD - Apr 24, 2026 (46 programs)
ℹ   [86/668] tvireland.ie (en) - MUTV.uk@SD - Apr 25, 2026 (38 programs)
ℹ   [87/668] tvireland.ie (en) - SkySportsNews.uk@SD - Apr 24, 2026 (28 programs)
ℹ   [88/668] tvireland.ie (en) - SkySportsNews.uk@SD - Apr 25, 2026 (23 programs)
ℹ   [89/668] tvireland.ie (en) - Eurosport1.fr@UK - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [90/668] tvireland.ie (en) - Eurosport1.fr@UK - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [91/668] tvireland.ie (en) - KissTV.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [92/668] tvireland.ie (en) - KissTV.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [93/668] tvireland.ie (en) - SkySportsMainEvent.uk@SD - Apr 24, 2026 (10 programs)
ℹ   [94/668] tvireland.ie (en) - SkySportsMainEvent.uk@SD - Apr 25, 2026 (12 programs)
ℹ   [95/668] tvireland.ie (en) - SkySportsCricket.uk@SD - Apr 24, 2026 (23 programs)
ℹ   [96/668] tvireland.ie (en) - SkySportsCricket.uk@SD - Apr 25, 2026 (23 programs)
ℹ   [97/668] tvireland.ie (en) - SkySportsNFL.uk@SD - Apr 24, 2026 (29 programs)
ℹ   [98/668] tvireland.ie (en) - SkySportsNFL.uk@SD - Apr 25, 2026 (21 programs)
ℹ   [99/668] tvireland.ie (en) - SkySportsGolf.uk@SD - Apr 24, 2026 (18 programs)
ℹ   [100/668] tvireland.ie (en) - SkySportsGolf.uk@SD - Apr 25, 2026 (15 programs)
ℹ   [101/668] tvireland.ie (en) - SkyArts.uk@SD - Apr 24, 2026 (26 programs)
ℹ   [102/668] tvireland.ie (en) - SkyArts.uk@SD - Apr 25, 2026 (20 programs)
ℹ   [103/668] tvireland.ie (en) - E4.uk@SD - Apr 24, 2026 (35 programs)
ℹ   [104/668] tvireland.ie (en) - E4.uk@SD - Apr 25, 2026 (26 programs)
ℹ   [105/668] tvireland.ie (en) - B4UMovies.in@UK - Apr 24, 2026 (8 programs)
ℹ   [106/668] tvireland.ie (en) - B4UMovies.in@UK - Apr 25, 2026 (8 programs)
ℹ   [107/668] tvireland.ie (en) - UtsavPlus.uk@SD - Apr 24, 2026 (44 programs)
ℹ   [108/668] tvireland.ie (en) - UtsavPlus.uk@SD - Apr 25, 2026 (44 programs)
ℹ   [109/668] tvireland.ie (en) - FashionTVEurope.fr@SD - Apr 24, 2026 (48 programs)
ℹ   [110/668] tvireland.ie (en) - FashionTVEurope.fr@SD - Apr 25, 2026 (48 programs)
ℹ   [111/668] tvireland.ie (en) - AnimalPlanet.uk@Plus1 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [112/668] tvireland.ie (en) - AnimalPlanet.uk@Plus1 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [113/668] tvireland.ie (en) - SkyHistory.uk@Plus1 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [114/668] tvireland.ie (en) - SkyHistory.uk@Plus1 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [115/668] tvireland.ie (en) - Nickelodeon.uk@Plus1 - Apr 24, 2026 (49 programs)
ℹ   [116/668] tvireland.ie (en) - Nickelodeon.uk@Plus1 - Apr 25, 2026 (52 programs)
ℹ   [117/668] tvireland.ie (en) - CartoonNetwork.uk@Plus1 - Apr 24, 2026 (36 programs)
ℹ   [118/668] tvireland.ie (en) - CartoonNetwork.uk@Plus1 - Apr 25, 2026 (31 programs)
ℹ   [119/668] tvireland.ie (en) - 706/discovery-channel-1 - Apr 24, 2026 (27 programs)
ℹ   [120/668] tvireland.ie (en) - 706/discovery-channel-1 - Apr 25, 2026 (25 programs)
ℹ   [121/668] tvireland.ie (en) - Film4.uk@Plus1 - Apr 24, 2026 (8 programs)
ℹ   [122/668] tvireland.ie (en) - Film4.uk@Plus1 - Apr 25, 2026 (9 programs)
ℹ   [123/668] tvireland.ie (en) - NationalGeographic.uk@Plus1 - Apr 24, 2026 (30 programs)
ℹ   [124/668] tvireland.ie (en) - NationalGeographic.uk@Plus1 - Apr 25, 2026 (30 programs)
ℹ   [125/668] tvireland.ie (en) - CBBC.uk@SD - Apr 24, 2026 (50 programs)
ℹ   [126/668] tvireland.ie (en) - CBBC.uk@SD - Apr 25, 2026 (50 programs)
ℹ   [127/668] tvireland.ie (en) - CBeebies.uk@SD - Apr 24, 2026 (75 programs)
ℹ   [128/668] tvireland.ie (en) - CBeebies.uk@SD - Apr 25, 2026 (76 programs)
ℹ   [129/668] tvireland.ie (en) - BBCFour.uk@UK - Apr 24, 2026 (9 programs)
ℹ   [130/668] tvireland.ie (en) - BBCFour.uk@UK - Apr 25, 2026 (8 programs)
ℹ   [131/668] tvireland.ie (en) - SkySportsRacing.uk@UK - Apr 24, 2026 (9 programs)
ℹ   [132/668] tvireland.ie (en) - SkySportsRacing.uk@UK - Apr 25, 2026 (9 programs)
ℹ   [133/668] tvireland.ie (en) - HGTV.uk@Plus1 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [134/668] tvireland.ie (en) - HGTV.uk@Plus1 - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [135/668] tvireland.ie (en) - 874/nickspongebob - Apr 24, 2026 (50 programs)
ℹ   [136/668] tvireland.ie (en) - 874/nickspongebob - Apr 25, 2026 (50 programs)
ℹ   [137/668] tvireland.ie (en) - 899/gold-1 - Apr 24, 2026 (34 programs)
ℹ   [138/668] tvireland.ie (en) - 899/gold-1 - Apr 25, 2026 (34 programs)
ℹ   [139/668] tvireland.ie (en) - 908/yesterday - Apr 24, 2026 (24 programs)
ℹ   [140/668] tvireland.ie (en) - 908/yesterday - Apr 25, 2026 (25 programs)
ℹ   [141/668] tvireland.ie (en) - Kerrang.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [142/668] tvireland.ie (en) - Kerrang.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [143/668] tvireland.ie (en) - E4Extra.uk@SD - Apr 24, 2026 (22 programs)
ℹ   [144/668] tvireland.ie (en) - E4Extra.uk@SD - Apr 25, 2026 (22 programs)
ℹ   [145/668] tvireland.ie (en) - Magic.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [146/668] tvireland.ie (en) - Magic.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [147/668] tvireland.ie (en) - SkyReplay.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [148/668] tvireland.ie (en) - SkyReplay.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [149/668] tvireland.ie (en) - E.uk@UK - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [150/668] tvireland.ie (en) - E.uk@UK - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [151/668] tvireland.ie (en) - BBCThree.uk@SD - Apr 24, 2026 (14 programs)
ℹ   [152/668] tvireland.ie (en) - BBCThree.uk@SD - Apr 25, 2026 (16 programs)
ℹ   [153/668] tvireland.ie (en) - ComedyCentralExtra.uk@SD - Apr 24, 2026 (42 programs)
ℹ   [154/668] tvireland.ie (en) - ComedyCentralExtra.uk@SD - Apr 25, 2026 (45 programs)
ℹ   [155/668] tvireland.ie (en) - SkyWitness.uk@Plus1 - Apr 24, 2026 (30 programs)
ℹ   [156/668] tvireland.ie (en) - SkyWitness.uk@Plus1 - Apr 25, 2026 (34 programs)
ℹ   [157/668] tvireland.ie (en) - 993/eden - Apr 24, 2026 (28 programs)
ℹ   [158/668] tvireland.ie (en) - 993/eden - Apr 25, 2026 (25 programs)
ℹ   [159/668] tvireland.ie (en) - 1003/eden-1 - Apr 24, 2026 (27 programs)
ℹ   [160/668] tvireland.ie (en) - 1003/eden-1 - Apr 25, 2026 (26 programs)
ℹ   [161/668] tvireland.ie (en) - 1031/legend-xtra - Apr 24, 2026 (16 programs)
ℹ   [162/668] tvireland.ie (en) - 1031/legend-xtra - Apr 25, 2026 (19 programs)
ℹ   [163/668] tvireland.ie (en) - RacingTV.uk@SD - Apr 24, 2026 (12 programs)
ℹ   [164/668] tvireland.ie (en) - RacingTV.uk@SD - Apr 25, 2026 (15 programs)
ℹ   [165/668] tvireland.ie (en) - E4.uk@Plus1 - Apr 24, 2026 (35 programs)
ℹ   [166/668] tvireland.ie (en) - E4.uk@Plus1 - Apr 25, 2026 (26 programs)
ℹ   [167/668] tvireland.ie (en) - ITV3.uk@SD - Apr 24, 2026 (23 programs)
ℹ   [168/668] tvireland.ie (en) - ITV3.uk@SD - Apr 25, 2026 (14 programs)
ℹ   [169/668] tvireland.ie (en) - 1068/yesterday-1 - Apr 24, 2026 (24 programs)
ℹ   [170/668] tvireland.ie (en) - 1068/yesterday-1 - Apr 25, 2026 (25 programs)
ℹ   [171/668] tvireland.ie (en) - SkyCrime.uk@SD - Apr 24, 2026 (26 programs)
ℹ   [172/668] tvireland.ie (en) - SkyCrime.uk@SD - Apr 25, 2026 (24 programs)
ℹ   [173/668] tvireland.ie (en) - Eurosport2.fr@UK - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [174/668] tvireland.ie (en) - Eurosport2.fr@UK - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [175/668] tvireland.ie (en) - 1079/dave-ja-vu - Apr 24, 2026 (29 programs)
ℹ   [176/668] tvireland.ie (en) - 1079/dave-ja-vu - Apr 25, 2026 (33 programs)
ℹ   [177/668] tvireland.ie (en) - Really.uk@SD - Apr 24, 2026 (23 programs)
ℹ   [178/668] tvireland.ie (en) - Really.uk@SD - Apr 25, 2026 (24 programs)
ℹ   [179/668] tvireland.ie (en) - GREATromance.uk@UK - Apr 24, 2026 (43 programs)
ℹ   [180/668] tvireland.ie (en) - GREATromance.uk@UK - Apr 25, 2026 (37 programs)
ℹ   [181/668] tvireland.ie (en) - ComedyCentral.uk@Plus1 - Apr 24, 2026 (43 programs)
ℹ   [182/668] tvireland.ie (en) - ComedyCentral.uk@Plus1 - Apr 25, 2026 (40 programs)
ℹ   [183/668] tvireland.ie (en) - More4.uk@SD - Apr 24, 2026 (26 programs)
ℹ   [184/668] tvireland.ie (en) - More4.uk@SD - Apr 25, 2026 (27 programs)
ℹ   [185/668] tvireland.ie (en) - More4.uk@Plus1 - Apr 24, 2026 (26 programs)
ℹ   [186/668] tvireland.ie (en) - More4.uk@Plus1 - Apr 25, 2026 (27 programs)
ℹ   [187/668] tvireland.ie (en) - SkyMix.uk@SD - Apr 24, 2026 (36 programs)
ℹ   [188/668] tvireland.ie (en) - SkyMix.uk@SD - Apr 25, 2026 (33 programs)
ℹ   [189/668] tvireland.ie (en) - ITV4.uk@SD - Apr 24, 2026 (22 programs)
ℹ   [190/668] tvireland.ie (en) - ITV4.uk@SD - Apr 25, 2026 (25 programs)
ℹ   [191/668] tvireland.ie (en) - Boomerang.uk@Plus1 - Apr 24, 2026 (34 programs)
ℹ   [192/668] tvireland.ie (en) - Boomerang.uk@Plus1 - Apr 25, 2026 (34 programs)
ℹ   [193/668] tvireland.ie (en) - VirginMediaTwo.ie@SD - Apr 24, 2026 (22 programs)
ℹ   [194/668] tvireland.ie (en) - VirginMediaTwo.ie@SD - Apr 25, 2026 (22 programs)
ℹ   [195/668] tvireland.ie (en) - 1218/alibi-1 - Apr 24, 2026 (23 programs)
ℹ   [196/668] tvireland.ie (en) - 1218/alibi-1 - Apr 25, 2026 (22 programs)
ℹ   [197/668] tvireland.ie (en) - Movies24.uk@SD - Apr 24, 2026 (15 programs)
ℹ   [198/668] tvireland.ie (en) - Movies24.uk@SD - Apr 25, 2026 (15 programs)
ℹ   [199/668] tvireland.ie (en) - SkySportsMainEvent.uk@HD - Apr 24, 2026 (10 programs)
ℹ   [200/668] tvireland.ie (en) - SkySportsMainEvent.uk@HD - Apr 25, 2026 (12 programs)
ℹ   [201/668] tvireland.ie (en) - NationalGeographic.uk@HD - Apr 24, 2026 (30 programs)
ℹ   [202/668] tvireland.ie (en) - NationalGeographic.uk@HD - Apr 25, 2026 (30 programs)
ℹ   [203/668] tvireland.ie (en) - 1233/discovery-channel-hd - Apr 24, 2026 (27 programs)
ℹ   [204/668] tvireland.ie (en) - 1233/discovery-channel-hd - Apr 25, 2026 (24 programs)
ℹ   [205/668] tvireland.ie (en) - SkySportsCricket.uk@HD - Apr 24, 2026 (23 programs)
ℹ   [206/668] tvireland.ie (en) - SkySportsCricket.uk@HD - Apr 25, 2026 (23 programs)
ℹ   [207/668] tvireland.ie (en) - TogetherTV.uk@SD - Apr 24, 2026 (29 programs)
ℹ   [208/668] tvireland.ie (en) - TogetherTV.uk@SD - Apr 25, 2026 (25 programs)
ℹ   [209/668] tvireland.ie (en) - NationalGeographicWild.uk@SD - Apr 24, 2026 (26 programs)
ℹ   [210/668] tvireland.ie (en) - NationalGeographicWild.uk@SD - Apr 25, 2026 (26 programs)
ℹ   [211/668] tvireland.ie (en) - CrimePlusInvestigation.uk@SD - Apr 24, 2026 (31 programs)
