═══════════════════════════════════════════════════════════════
  Site            : programme-tv.net
  Status          : TIMEOUT
  Attempts used   : 10 / 10
  Total elapsed   : 324s
  Channels        : 2123
  With programmes : 1823
  Empty channels  : 300
  Total programs  : 0
  Output size     : 0 bytes
  HTTP errors     :
    300 status code 503
  Last error      : Request failed with status code 503
  Generated       : 2026-04-24 11:48:16
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:42:52 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=programme-tv.net --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 299 channel(s)
ℹ loading api data...
ℹ   [56/598] programme-tv.net (fr) - canal-z-254 - Apr 24, 2026 (22 programs)
ℹ   [57/598] programme-tv.net (fr) - canalplus-box-office-11522 - Apr 25, 2026 (14 programs)
ℹ   [58/598] programme-tv.net (fr) - canalplus-box-office-11522 - Apr 24, 2026 (15 programs)
ℹ   [59/598] programme-tv.net (fr) - canalplus-cinema-35 - Apr 25, 2026 (13 programs)
ℹ   [60/598] programme-tv.net (fr) - canalplus-cinema-35 - Apr 24, 2026 (15 programs)
ℹ   [61/598] programme-tv.net (fr) - canalplus-foot-11508 - Apr 25, 2026 (17 programs)
ℹ   [62/598] programme-tv.net (fr) - canalplus-foot-11508 - Apr 24, 2026 (16 programs)
ℹ   [63/598] programme-tv.net (fr) - canalplus-ligue-1-10504 - Apr 25, 2026 (7 programs)
ℹ   [64/598] programme-tv.net (fr) - canalplus-live-1-10503 - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 503
ℹ   [65/598] programme-tv.net (fr) - canalplus-live-1-10503 - Apr 25, 2026 (26 programs)
ℹ   [66/598] programme-tv.net (fr) - canalplus-live-2-10507 - Apr 24, 2026 (8 programs)
ℹ   [67/598] programme-tv.net (fr) - canalplus-live-2-10507 - Apr 25, 2026 (8 programs)
ℹ   [68/598] programme-tv.net (fr) - canalplus-live-3-10505 - Apr 25, 2026 (7 programs)
ℹ   [69/598] programme-tv.net (fr) - canalplus-ligue-1-10504 - Apr 24, 2026 (7 programs)
ℹ   [70/598] programme-tv.net (fr) - canalplus-live-3-10505 - Apr 24, 2026 (9 programs)
ℹ   [71/598] programme-tv.net (fr) - canalplus-sport-360-11509 - Apr 24, 2026 (28 programs)
ℹ   [72/598] programme-tv.net (fr) - canvas-234 - Apr 25, 2026 (15 programs)
ℹ   [73/598] programme-tv.net (fr) - canvas-234 - Apr 24, 2026 (14 programs)
ℹ   [74/598] programme-tv.net (fr) - canalplus-sport-360-11509 - Apr 25, 2026 (34 programs)
ℹ   [75/598] programme-tv.net (fr) - cartoonito-11510 - Apr 24, 2026 (136 programs)
ℹ   [76/598] programme-tv.net (fr) - cartoonito-11510 - Apr 25, 2026 (137 programs)
ℹ   [77/598] programme-tv.net (fr) - cineplus-famiz-46 - Apr 25, 2026 (17 programs)
ℹ   [78/598] programme-tv.net (fr) - cineplus-famiz-46 - Apr 24, 2026 (17 programs)
ℹ   [79/598] programme-tv.net (fr) - club-rtl-140 - Apr 25, 2026 (17 programs)
ℹ   [80/598] programme-tv.net (fr) - club-rtl-140 - Apr 24, 2026 (16 programs)
ℹ   [81/598] programme-tv.net (fr) - cstar-hits-france-489 - Apr 24, 2026 (5 programs)
