═══════════════════════════════════════════════════════════════
  Site            : tv24.co.uk
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 197s
  Channels        : 2144
  With programmes : 1204
  Empty channels  : 940
  Total programs  : 35238
  Output size     : 10998048 bytes
  Generated       : 2026-04-24 12:28:33
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 12:25:16 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=tv24.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 1072 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [59/2144] tv24.co.uk (en) - al-jazeera-english-1 - Apr 25, 2026 (40 programs)
ℹ   [60/2144] tv24.co.uk (en) - al-jazeera-hd - Apr 25, 2026 (40 programs)
ℹ   [61/2144] tv24.co.uk (en) - al-jazeera-hd-1 - Apr 24, 2026 (28 programs)
ℹ   [62/2144] tv24.co.uk (en) - alibi - Apr 24, 2026 (0 programs)
ℹ   [63/2144] tv24.co.uk (en) - alibi - Apr 25, 2026 (0 programs)
ℹ   [64/2144] tv24.co.uk (en) - al-jazeera-hd-1 - Apr 25, 2026 (30 programs)
ℹ   [65/2144] tv24.co.uk (en) - alibi-1 - Apr 24, 2026 (0 programs)
ℹ   [66/2144] tv24.co.uk (en) - alibi-1 - Apr 25, 2026 (0 programs)
ℹ   [67/2144] tv24.co.uk (en) - alibi-hd - Apr 24, 2026 (0 programs)
ℹ   [68/2144] tv24.co.uk (en) - allgaeu-tv - Apr 24, 2026 (0 programs)
ℹ   [69/2144] tv24.co.uk (en) - alibi-hd - Apr 25, 2026 (0 programs)
ℹ   [70/2144] tv24.co.uk (en) - allgaeu-tv - Apr 25, 2026 (0 programs)
ℹ   [71/2144] tv24.co.uk (en) - amazing-discoveries - Apr 24, 2026 (17 programs)
ℹ   [72/2144] tv24.co.uk (en) - andalucia-tv - Apr 24, 2026 (21 programs)
ℹ   [73/2144] tv24.co.uk (en) - amazing-discoveries - Apr 25, 2026 (19 programs)
ℹ   [74/2144] tv24.co.uk (en) - animal-planet - Apr 24, 2026 (27 programs)
ℹ   [75/2144] tv24.co.uk (en) - andalucia-tv - Apr 25, 2026 (24 programs)
