═══════════════════════════════════════════════════════════════
  Site            : vidio.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 26s
  Channels        : 114
  With programmes : 92
  Empty channels  : 22
  Total programs  : 3106
  Output size     : 1436508 bytes
  HTTP errors     :
    6 status code 404
  Last error      : Request failed with status code 404
  Generated       : 2026-04-24 13:01:01
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:00:35 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=vidio.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 57 channel(s)
ℹ loading api data...
ℹ   [58/114] vidio.com (id) - ChampionsTV3.id@SD - Apr 25, 2026 (25 programs)
ℹ   [59/114] vidio.com (id) - MakkahTV.sa@SD - Apr 24, 2026 (0 programs)
ℹ   [60/114] vidio.com (id) - MakkahTV.sa@SD - Apr 25, 2026 (0 programs)
ℹ   [61/114] vidio.com (id) - UChannel.id@SD - Apr 24, 2026 (0 programs)
ℹ   [62/114] vidio.com (id) - UChannel.id@SD - Apr 25, 2026 (0 programs)
ℹ   [63/114] vidio.com (id) - HipHipHoree.id@SD - Apr 24, 2026 (72 programs)
ℹ   [64/114] vidio.com (id) - HipHipHoree.id@SD - Apr 25, 2026 (55 programs)
ℹ   [65/114] vidio.com (id) - ABCAustralia.au@SD - Apr 24, 2026 (26 programs)
ℹ   [66/114] vidio.com (id) - ABCAustralia.au@SD - Apr 25, 2026 (27 programs)
ℹ   [67/114] vidio.com (id) - MagnaChannel.id@SD - Apr 25, 2026 (0 programs)
ℹ   [68/114] vidio.com (id) - MagnaChannel.id@SD - Apr 24, 2026 (0 programs)
ℹ   [69/114] vidio.com (id) - NusantaraTV.id@SD - Apr 24, 2026 (27 programs)
ℹ   [70/114] vidio.com (id) - NusantaraTV.id@SD - Apr 25, 2026 (26 programs)
ℹ   [71/114] vidio.com (id) - 7619 - Apr 24, 2026 (0 programs)
ℹ   [72/114] vidio.com (id) - AjwaTV.id@SD - Apr 24, 2026 (24 programs)
ℹ   [73/114] vidio.com (id) - AjwaTV.id@SD - Apr 25, 2026 (24 programs)
ℹ   [74/114] vidio.com (id) - NHKWorldJapan.jp@SD - Apr 24, 2026 (53 programs)
ℹ   [75/114] vidio.com (id) - 7619 - Apr 25, 2026 (0 programs)
ℹ   [76/114] vidio.com (id) - ROCKEntertainment.sg@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [77/114] vidio.com (id) - NHKWorldJapan.jp@SD - Apr 25, 2026 (73 programs)
ℹ   [78/114] vidio.com (id) - ROCKEntertainment.sg@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [79/114] vidio.com (id) - ROCKExtreme.sg@SD - Apr 25, 2026 (16 programs)
ℹ   [80/114] vidio.com (id) - ROCKExtreme.sg@SD - Apr 24, 2026 (16 programs)
ℹ   [81/114] vidio.com (id) - ChampionsTV5.id@SD - Apr 24, 2026 (21 programs)
ℹ   [82/114] vidio.com (id) - ChampionsTV6.id@SD - Apr 24, 2026 (18 programs)
ℹ   [83/114] vidio.com (id) - ChampionsTV5.id@SD - Apr 25, 2026 (20 programs)
