═══════════════════════════════════════════════════════════════
  Site            : directv.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 148s
  Channels        : 2312
  With programmes : 1886
  Empty channels  : 426
  Total programs  : 47468
  Output size     : 25734441 bytes
  Generated       : 2026-04-24 10:50:18
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 10:47:50 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=directv.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 1156 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [44/2312] directv.com (en) - 00fe3c8a-dade-497c-ba7a-67b32bcddbfa - Apr 25, 2026 (24 programs)
ℹ   [45/2312] directv.com (en) - 000a4fef-16ba-4a86-8a45-ca4ac4d30684 - Apr 24, 2026 (27 programs)
ℹ   [46/2312] directv.com (en) - 000a4fef-16ba-4a86-8a45-ca4ac4d30684 - Apr 25, 2026 (32 programs)
ℹ   [47/2312] directv.com (en) - 0e0bedcf-e82f-4e4d-9127-920715d20616 - Apr 24, 2026 (9 programs)
ℹ   [48/2312] directv.com (en) - 0e0bedcf-e82f-4e4d-9127-920715d20616 - Apr 25, 2026 (9 programs)
ℹ   [49/2312] directv.com (en) - 0e3fb1f0-2a22-4edb-bf3c-2a819f3791ab - Apr 24, 2026 (0 programs)
ℹ   [50/2312] directv.com (en) - 0e3fb1f0-2a22-4edb-bf3c-2a819f3791ab - Apr 25, 2026 (0 programs)
ℹ   [51/2312] directv.com (en) - 0e77933e-f60b-4e10-b546-03aa4e2d5ef7 - Apr 24, 2026 (22 programs)
ℹ   [52/2312] directv.com (en) - 0e89f29b-17a7-4e9e-8edd-bbe2de49cb56 - Apr 24, 2026 (15 programs)
ℹ   [53/2312] directv.com (en) - 0e77933e-f60b-4e10-b546-03aa4e2d5ef7 - Apr 25, 2026 (22 programs)
ℹ   [54/2312] directv.com (en) - 0e9a6483-c7e1-4cb1-9e51-dda1ead5b966 - Apr 24, 2026 (14 programs)
ℹ   [55/2312] directv.com (en) - 0e89f29b-17a7-4e9e-8edd-bbe2de49cb56 - Apr 25, 2026 (16 programs)
ℹ   [56/2312] directv.com (en) - 0e9a6483-c7e1-4cb1-9e51-dda1ead5b966 - Apr 25, 2026 (14 programs)
ℹ   [57/2312] directv.com (en) - 2945210e-6289-4402-be3a-6704b027ec50 - Apr 24, 2026 (19 programs)
ℹ   [58/2312] directv.com (en) - 2945210e-6289-4402-be3a-6704b027ec50 - Apr 25, 2026 (21 programs)
ℹ   [59/2312] directv.com (en) - 01a62748-de51-4c3d-b4ad-1167e6983492 - Apr 25, 2026 (23 programs)
ℹ   [60/2312] directv.com (en) - 01a62748-de51-4c3d-b4ad-1167e6983492 - Apr 24, 2026 (26 programs)
ℹ   [61/2312] directv.com (en) - 01aead45-ac59-49b6-9ee0-a513c60e373f - Apr 24, 2026 (31 programs)
ℹ   [62/2312] directv.com (en) - 01bb44fa-506c-4cf5-b22a-bf4b9c560304 - Apr 24, 2026 (5 programs)
ℹ   [63/2312] directv.com (en) - 01aead45-ac59-49b6-9ee0-a513c60e373f - Apr 25, 2026 (40 programs)
ℹ   [64/2312] directv.com (en) - 01bb44fa-506c-4cf5-b22a-bf4b9c560304 - Apr 25, 2026 (5 programs)
ℹ   [65/2312] directv.com (en) - 01d53c03-2779-480d-a5cc-635c8acede24 - Apr 24, 2026 (21 programs)
ℹ   [66/2312] directv.com (en) - 01ea1d5d-dd94-4db1-9eef-4a1f5979251b - Apr 24, 2026 (29 programs)
ℹ   [67/2312] directv.com (en) - 01d53c03-2779-480d-a5cc-635c8acede24 - Apr 25, 2026 (17 programs)
ℹ   [68/2312] directv.com (en) - 01ea1d5d-dd94-4db1-9eef-4a1f5979251b - Apr 25, 2026 (34 programs)
ℹ   [69/2312] directv.com (en) - 1a3d9bbb-6fa6-4db0-9e48-00c80d1fd8c6 - Apr 24, 2026 (47 programs)
ℹ   [70/2312] directv.com (en) - 1a3d9bbb-6fa6-4db0-9e48-00c80d1fd8c6 - Apr 25, 2026 (44 programs)
ℹ   [71/2312] directv.com (en) - 1a4a07ae-d5b0-4076-bff6-69d01a3ea3eb - Apr 24, 2026 (0 programs)
ℹ   [72/2312] directv.com (en) - 1a4a07ae-d5b0-4076-bff6-69d01a3ea3eb - Apr 25, 2026 (0 programs)
ℹ   [73/2312] directv.com (en) - 1a6be6ca-c05f-4780-b4bc-4a2610291dc6 - Apr 24, 2026 (27 programs)
ℹ   [74/2312] directv.com (en) - 1a6be6ca-c05f-4780-b4bc-4a2610291dc6 - Apr 25, 2026 (29 programs)
ℹ   [75/2312] directv.com (en) - 1a7b1247-19d3-4d6e-8e6f-ba3504086d80 - Apr 24, 2026 (25 programs)
ℹ   [76/2312] directv.com (en) - 1a2259e6-94b3-49ee-8b45-18628d3f2856 - Apr 24, 2026 (0 programs)
ℹ   [77/2312] directv.com (en) - 1a7b1247-19d3-4d6e-8e6f-ba3504086d80 - Apr 25, 2026 (24 programs)
ℹ   [78/2312] directv.com (en) - 1a2259e6-94b3-49ee-8b45-18628d3f2856 - Apr 25, 2026 (0 programs)
ℹ   [79/2312] directv.com (en) - 1ae636b8-db56-4dc4-84fa-580443bc9bce - Apr 24, 2026 (0 programs)
ℹ   [80/2312] directv.com (en) - 1ae636b8-db56-4dc4-84fa-580443bc9bce - Apr 25, 2026 (0 programs)
ℹ   [81/2312] directv.com (en) - 1b10de5e-3e3b-488f-9740-bec197244114 - Apr 24, 2026 (19 programs)
ℹ   [82/2312] directv.com (en) - 1b10de5e-3e3b-488f-9740-bec197244114 - Apr 25, 2026 (25 programs)
ℹ   [83/2312] directv.com (en) - 1bbdd13d-6561-4b64-b441-4b6023ded388 - Apr 24, 2026 (29 programs)
ℹ   [84/2312] directv.com (en) - 1bbdd13d-6561-4b64-b441-4b6023ded388 - Apr 25, 2026 (29 programs)
ℹ   [85/2312] directv.com (en) - 1bd3cce5-b15b-4988-a382-89b501290c3f - Apr 24, 2026 (1 programs)
ℹ   [86/2312] directv.com (en) - 1bd3cce5-b15b-4988-a382-89b501290c3f - Apr 25, 2026 (1 programs)
ℹ   [87/2312] directv.com (en) - 1c4e1fec-a588-42e2-b068-e04ad332824c - Apr 24, 2026 (13 programs)
ℹ   [88/2312] directv.com (en) - 1c4e1fec-a588-42e2-b068-e04ad332824c - Apr 25, 2026 (10 programs)
ℹ   [89/2312] directv.com (en) - 1c39c407-2b49-478b-8e62-3e051a695d0c - Apr 24, 2026 (0 programs)
ℹ   [90/2312] directv.com (en) - 1c39c407-2b49-478b-8e62-3e051a695d0c - Apr 25, 2026 (0 programs)
ℹ   [91/2312] directv.com (en) - 1c8226dd-f0c7-4b69-bbb4-142a6deff392 - Apr 24, 2026 (19 programs)
ℹ   [92/2312] directv.com (en) - 1c8226dd-f0c7-4b69-bbb4-142a6deff392 - Apr 25, 2026 (19 programs)
ℹ   [93/2312] directv.com (en) - 1d3ae1f3-5a46-4e30-9584-1b29e4fcc9bb - Apr 24, 2026 (0 programs)
ℹ   [94/2312] directv.com (en) - 1d3ae1f3-5a46-4e30-9584-1b29e4fcc9bb - Apr 25, 2026 (1 programs)
ℹ   [95/2312] directv.com (en) - 1d6aba71-5282-4f56-8acf-2a2aff938b0f - Apr 24, 2026 (32 programs)
ℹ   [96/2312] directv.com (en) - 1d6aba71-5282-4f56-8acf-2a2aff938b0f - Apr 25, 2026 (35 programs)
ℹ   [97/2312] directv.com (en) - 1d36c051-d7cd-42a5-8a79-5c9ceac2fca8 - Apr 24, 2026 (49 programs)
ℹ   [98/2312] directv.com (en) - 1d69d262-270e-410e-93f8-fc30f16dce87 - Apr 24, 2026 (33 programs)
ℹ   [99/2312] directv.com (en) - 1d36c051-d7cd-42a5-8a79-5c9ceac2fca8 - Apr 25, 2026 (49 programs)
ℹ   [100/2312] directv.com (en) - 1d69d262-270e-410e-93f8-fc30f16dce87 - Apr 25, 2026 (25 programs)
ℹ   [101/2312] directv.com (en) - 1db98d7f-4a0f-44e8-9ec3-08313505fb3e - Apr 24, 2026 (56 programs)
ℹ   [102/2312] directv.com (en) - 1db98d7f-4a0f-44e8-9ec3-08313505fb3e - Apr 25, 2026 (56 programs)
ℹ   [103/2312] directv.com (en) - 1dc41f1c-7380-4bf8-a4b5-13f688b48fd6 - Apr 24, 2026 (4 programs)
ℹ   [104/2312] directv.com (en) - 1dc41f1c-7380-4bf8-a4b5-13f688b48fd6 - Apr 25, 2026 (4 programs)
ℹ   [105/2312] directv.com (en) - 1dd9b3b8-12fe-4821-9cef-0f5adbd4b0e5 - Apr 24, 2026 (29 programs)
ℹ   [106/2312] directv.com (en) - 1dd9b3b8-12fe-4821-9cef-0f5adbd4b0e5 - Apr 25, 2026 (25 programs)
ℹ   [107/2312] directv.com (en) - 1f3f7e7e-9938-471b-8ca5-9932f02cacee - Apr 24, 2026 (1 programs)
ℹ   [108/2312] directv.com (en) - 1f3f7e7e-9938-471b-8ca5-9932f02cacee - Apr 25, 2026 (0 programs)
ℹ   [109/2312] directv.com (en) - 1f16d48c-530d-446f-a759-2d7c7a8a527a - Apr 24, 2026 (0 programs)
ℹ   [110/2312] directv.com (en) - 1f16d48c-530d-446f-a759-2d7c7a8a527a - Apr 25, 2026 (0 programs)
ℹ   [111/2312] directv.com (en) - 1f92b106-ee91-41cf-9c54-6db38f0d71ba - Apr 24, 2026 (0 programs)
ℹ   [112/2312] directv.com (en) - 1f92b106-ee91-41cf-9c54-6db38f0d71ba - Apr 25, 2026 (0 programs)
ℹ   [113/2312] directv.com (en) - 2a20c19d-ae2c-4b15-8b6c-24223a4c4d40 - Apr 24, 2026 (13 programs)
ℹ   [114/2312] directv.com (en) - 2a20c19d-ae2c-4b15-8b6c-24223a4c4d40 - Apr 25, 2026 (13 programs)
ℹ   [115/2312] directv.com (en) - 2a52c1df-ee7e-4525-a7a8-05eb32f748b6 - Apr 24, 2026 (7 programs)
ℹ   [116/2312] directv.com (en) - 2a52c1df-ee7e-4525-a7a8-05eb32f748b6 - Apr 25, 2026 (9 programs)
ℹ   [117/2312] directv.com (en) - 2a088d0c-9bfd-4e92-a2a2-044fa9bfcffc - Apr 24, 2026 (34 programs)
ℹ   [118/2312] directv.com (en) - 2a088d0c-9bfd-4e92-a2a2-044fa9bfcffc - Apr 25, 2026 (37 programs)
ℹ   [119/2312] directv.com (en) - 2abd6b5d-69d1-47fd-87f3-cd2711e93642 - Apr 24, 2026 (0 programs)
ℹ   [120/2312] directv.com (en) - 2abd6b5d-69d1-47fd-87f3-cd2711e93642 - Apr 25, 2026 (0 programs)
ℹ   [121/2312] directv.com (en) - 2ad8b4d0-8c6f-4360-84e5-79f5f1874aee - Apr 24, 2026 (6 programs)
ℹ   [122/2312] directv.com (en) - 2ad8b4d0-8c6f-4360-84e5-79f5f1874aee - Apr 25, 2026 (6 programs)
ℹ   [123/2312] directv.com (en) - 2af9018c-de48-4c95-9d84-4a74d80e2a89 - Apr 24, 2026 (1 programs)
ℹ   [124/2312] directv.com (en) - 2af9018c-de48-4c95-9d84-4a74d80e2a89 - Apr 25, 2026 (1 programs)
ℹ   [125/2312] directv.com (en) - 2b37e536-052a-4969-b5c9-2bc1455d8c51 - Apr 24, 2026 (16 programs)
ℹ   [126/2312] directv.com (en) - 2b37e536-052a-4969-b5c9-2bc1455d8c51 - Apr 25, 2026 (16 programs)
ℹ   [127/2312] directv.com (en) - 2b054eaf-3dd6-4178-9a91-5dd02f58791a - Apr 24, 2026 (25 programs)
