═══════════════════════════════════════════════════════════════
  Site            : mytelly.co.uk
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 86s
  Channels        : 976
  With programmes : 111
  Empty channels  : 865
  Total programs  : 3059
  Output size     : 695478 bytes
  HTTP errors     :
    857 status code 405
    8 status code 404
  Last error      : Request failed with status code 405
  Generated       : 2026-04-24 11:24:13
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 11:22:46 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=mytelly.co.uk --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 488 channel(s)
ℹ   [52/976] mytelly.co.uk (en) - ITV1.uk@ChannelTelevision - Apr 25, 2026 (23 programs)
ℹ   [53/976] mytelly.co.uk (en) - ITV1.uk@Wales - Apr 24, 2026 (24 programs)
ℹ   [54/976] mytelly.co.uk (en) - ITV1.uk@Wales - Apr 25, 2026 (23 programs)
ℹ   [55/976] mytelly.co.uk (en) - ITV1.uk@West - Apr 24, 2026 (23 programs)
ℹ   [56/976] mytelly.co.uk (en) - ITV1.uk@West - Apr 25, 2026 (23 programs)
ℹ   [57/976] mytelly.co.uk (en) - ITV1.uk@Central - Apr 24, 2026 (23 programs)
ℹ   [58/976] mytelly.co.uk (en) - ITV1.uk@Central - Apr 25, 2026 (23 programs)
ℹ   [59/976] mytelly.co.uk (en) - ITV1.uk@WestCountry - Apr 24, 2026 (23 programs)
ℹ   [60/976] mytelly.co.uk (en) - ITV1.uk@WestCountry - Apr 25, 2026 (23 programs)
ℹ   [61/976] mytelly.co.uk (en) - ITV1.uk@London - Apr 24, 2026 (23 programs)
ℹ   [62/976] mytelly.co.uk (en) - ITV1.uk@London - Apr 25, 2026 (23 programs)
ℹ   [63/976] mytelly.co.uk (en) - BBCTwo.uk@England - Apr 24, 2026 (24 programs)
ℹ   [64/976] mytelly.co.uk (en) - BBCTwo.uk@England - Apr 25, 2026 (27 programs)
ℹ   [65/976] mytelly.co.uk (en) - Channel4.uk@UK - Apr 24, 2026 (33 programs)
ℹ   [66/976] mytelly.co.uk (en) - Channel4.uk@UK - Apr 25, 2026 (35 programs)
ℹ   [67/976] mytelly.co.uk (en) - BBCParliament.uk@SD - Apr 24, 2026 (18 programs)
ℹ   [68/976] mytelly.co.uk (en) - BBCParliament.uk@SD - Apr 25, 2026 (16 programs)
ℹ   [69/976] mytelly.co.uk (en) - Channel5.uk@SD - Apr 25, 2026 (47 programs)
ℹ   [70/976] mytelly.co.uk (en) - Channel5.uk@SD - Apr 24, 2026 (50 programs)
ℹ   [71/976] mytelly.co.uk (en) - MTVHits.uk@SD - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [72/976] mytelly.co.uk (en) - MTVHits.uk@SD - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [73/976] mytelly.co.uk (en) - 63/mtv-xmas - Apr 24, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [74/976] mytelly.co.uk (en) - 63/mtv-xmas - Apr 25, 2026 (0 programs)
ℹ     ERR: Request failed with status code 404
ℹ   [75/976] mytelly.co.uk (en) - MTV.uk@SD - Apr 24, 2026 (23 programs)
ℹ   [76/976] mytelly.co.uk (en) - MTV.uk@SD - Apr 25, 2026 (25 programs)
ℹ   [77/976] mytelly.co.uk (en) - ZeeTVUK.uk@SD - Apr 24, 2026 (38 programs)
ℹ   [78/976] mytelly.co.uk (en) - 73/phoenix-cne-channel - Apr 24, 2026 (21 programs)
ℹ   [79/976] mytelly.co.uk (en) - ZeeTVUK.uk@SD - Apr 25, 2026 (36 programs)
ℹ   [80/976] mytelly.co.uk (en) - 73/phoenix-cne-channel - Apr 25, 2026 (19 programs)
ℹ   [81/976] mytelly.co.uk (en) - 74/udave - Apr 24, 2026 (29 programs)
ℹ   [82/976] mytelly.co.uk (en) - 74/udave - Apr 25, 2026 (33 programs)
ℹ   [83/976] mytelly.co.uk (en) - RTEOne.ie@SD - Apr 24, 2026 (30 programs)
