═══════════════════════════════════════════════════════════════
  Site            : zap2it.com
  Status          : PASS
  Attempts used   : 1 / 10
  Total elapsed   : 91s
  Channels        : 1190
  With programmes : 681
  Empty channels  : 509
  Total programs  : 7810
  Output size     : 3917204 bytes
  HTTP errors     :
    503 status code 429
  Last error      : Request failed with status code 429
  Generated       : 2026-04-24 13:08:52
═══════════════════════════════════════════════════════════════

----- raw npm grab output (last attempt) -----


===== attempt 1/10 @ 13:07:20 =====

> grab
> tsx scripts/commands/epg/grab.ts --sites=zap2it.com --output=/home/runner/workspace/sites/{site}/{site}.xml --timeout=30000 --maxConnections=5 --delay=250 --days=2

ℹ starting...
ℹ loading channels...
ℹ found 595 channel(s)
ℹ loading api data...
ℹ creating queue...
ℹ run:
ℹ   [42/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10188 - Apr 25, 2026 (5 programs)
ℹ   [43/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10201 - Apr 24, 2026 (6 programs)
ℹ   [44/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10201 - Apr 25, 2026 (6 programs)
ℹ   [45/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10222 - Apr 24, 2026 (12 programs)
ℹ   [46/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10240 - Apr 24, 2026 (10 programs)
ℹ   [47/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10222 - Apr 25, 2026 (10 programs)
ℹ   [48/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10240 - Apr 25, 2026 (10 programs)
ℹ   [49/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10241 - Apr 24, 2026 (8 programs)
ℹ   [50/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10241 - Apr 25, 2026 (8 programs)
ℹ   [51/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10242 - Apr 24, 2026 (9 programs)
ℹ   [52/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10242 - Apr 25, 2026 (9 programs)
ℹ   [53/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10243 - Apr 24, 2026 (11 programs)
ℹ   [54/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10243 - Apr 25, 2026 (9 programs)
ℹ   [55/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10244 - Apr 24, 2026 (9 programs)
ℹ   [56/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10244 - Apr 25, 2026 (11 programs)
ℹ   [57/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10262 - Apr 24, 2026 (13 programs)
ℹ   [58/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10262 - Apr 25, 2026 (17 programs)
ℹ   [59/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10269 - Apr 24, 2026 (11 programs)
ℹ   [60/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10269 - Apr 25, 2026 (11 programs)
ℹ   [61/1190] zap2it.com (es) - X/USA-DITV-DEFAULT/DITV/USA/12084/10270 - Apr 24, 2026 (11 programs)
